year,acad.visits,kaww.visits
1919,64000,NA
1920,66500,NA
1921,69836,NA
1922,73779,NA
1923,64200,NA
1924,71758,NA
1925,73673,NA
1926,101256,NA
1927,123699,NA
1928,134897,NA
1929,149554,NA
1930,154734,NA
1931,162238,NA
1932,237596,NA
1933,262712,NA
1934,275956,NA
1935,316114,NA
1936,340393,NA
1937,383036,NA
1938,394319,NA
1939,396468,NA
1940,382084,NA
1941,409961,NA
1942,36544,NA
1943,8246,NA
1944,12916,NA
1945,20200,NA
1946,382390,NA
1947,434069,NA
1948,420846,NA
1949,438584,NA
1950,485220,NA
1951,518556,NA
1952,549075,NA
1953,556195,NA
1954,553800,NA
1955,655000,NA
1956,735500,NA
1957,858900,NA
1958,816500,NA
1959,755900,NA
1960,1638200,NA
1961,1574600,NA
1962,1601500,NA
1963,1864800,NA
1964,2011600,NA
1965,1733600,NA
1966,2158400,NA
1967,2102000,NA
1968,2303300,NA
1969,2489800,NA
1970,2776300,NA
1971,2101100,NA
1972,2285881,NA
1973,2394000,NA
1974,2335800,NA
1975,2380500,NA
1976,2353300,NA
1977,2734600,NA
1978,2684933,NA
1979,2787366,NA
1980,2779666,NA
1981,2997972,NA
1982,3572114,NA
1983,4124639,NA
1984,3734763,NA
1985,3745570,NA
1986,3929054,NA
1987,4288154,NA
1988,4502283,NA
1989,5440952,NA
1990,2339591,NA
1991,2475857,NA
1992,2382113,NA
1993,2656034,NA
1994,2710749,NA
1995,2845378,NA
1996,2704831,NA
1997,2760306,NA
1998,2594497,NA
1999,2602227,NA
2000,2469238,NA
2001,2516551,NA
2002,2558572,NA
2003,2431062,NA
2004,2207847,NA
2005,2051484,NA
2006,2083588,NA
2007,2202228,NA
2008,2075857,NA
2009,2227698,NA
2010,2504208,NA
2011,2374645,NA
2012,2431052,NA
2013,2254922,NA
2014,2563129,NA
2015,2811184,NA
2016,3303393,NA
2017,3509271,NA
2018,3537575,NA
2019,3437286,NA
2020,2669034,41432
2021,4069098,39485
2022,3970260,43231
2023,3879890,38455
