scientific.name,status
Alasmidonta varicosa,federal/state TE
Alca torda,federal/state TE
Ammodramus savannarum,federal/state TE
Aquila chrysaetos,federal/state TE
Asio flammeus,federal/state TE
Atlanticoncha ochracea,federal/state TE
Bartramia longicauda,federal/state TE
Boloria chariclea,federal/state TE
Boloria frigga,federal/state TE
Bombus affinis,federal/state TE
Bucephala islandica,federal/state TE
Calidris canutus,federal/state TE
Callophrys gryneus,federal/state TE
Callophrys hesseli,federal/state TE
Charadrius melodus,federal/state TE
Chlidonias niger,federal/state TE
Cicindelidia marginipennis,federal/state TE
Cistothorus stellaris,federal/state TE
Clemmys guttata,federal/state TE
Coluber constrictor,federal/state TE
Dermochelys coriacea,federal/state TE
Emydoidea blandingii,federal/state TE
Epeorus frisoni,federal/state TE
Eretmochelys imbricata,federal/state TE
Erynnis brizo,federal/state TE
Esox americanus americanus,federal/state TE
Etheostoma fusiforme,federal/state TE
Falco peregrinus,federal/state TE
Fratercula arctica,federal/state TE
Gallinula galeata,federal/state TE
Phanogomphus quadricolor,federal/state TE
Histrionicus histrionicus,federal/state TE
Isotria medeoloides,federal/state TE
Botaurus exilis,federal/state TE
Lampsilis cariosa,federal/state TE
Lycia rachelae,federal/state TE
Myotis leibii,federal/state TE
Myotis lucifugus,federal/state TE
Myotis septentrionalis,federal/state TE
Nycticorax nycticorax,federal/state TE
Oeneis polixenes katahdin,federal/state TE
Ophiogomphus colubrinus,federal/state TE
Pedicularis furbishiae,federal/state TE
Platanthera leucophaea,federal/state TE
Salmo salar,federal/state TE
Satyrium edwardsii,federal/state TE
Siphlonisca aerodromia,federal/state TE
Sternula antillarum,federal/state TE
Sterna dougallii,federal/state TE
Sterna paradisaea,federal/state TE
Sylvilagus transitionalis,federal/state TE
Mictomys borealis,federal/state TE
Terrapene carolina,federal/state TE
Tharsalea dorcas claytoni,federal/state TE
Vertigo morsei,federal/state TE
Williamsonia lintneri,federal/state TE
Zanclognatha martha,federal/state TE
Acer ginnala,invasive/disease
Acer platanoides,invasive/disease
Achillea ptarmica,invasive/disease
Adelges piceae,invasive/disease
Adelges tsugae,invasive/disease
Agrilus planipennis,invasive/disease
Ailanthus altissima,invasive/disease
Akebia quinata,invasive/disease
Alliaria petiolata,invasive/disease
Alnus glutinosa,invasive/disease
Amorpha fruticosa,invasive/disease
Ampelopsis glandulosa,invasive/disease
Amynthas agrestis,invasive/disease
Amynthas corticis,invasive/disease
Amynthas diffringens,invasive/disease
Amynthas gracilis,invasive/disease
Amynthas sexpectatus,invasive/disease
Amynthas tokioensis,invasive/disease
Anoplophora glabripennis,invasive/disease
Anthriscus sylvestris,invasive/disease
Aegopodium podagraria,invasive/disease
Berberis thunbergii,invasive/disease
Berberis vulgaris,invasive/disease
Bretziella fagacearum,invasive/disease
Butomus umbellatus,invasive/disease
Calluna vulgaris,invasive/disease
Cardamine impatiens,invasive/disease
Celastrus orbiculatus,invasive/disease
Centaurea nigrescens,invasive/disease
Centaurea stoebe,invasive/disease
Choristoneura fumiferana,invasive/disease
Cirsium arvense,invasive/disease
Cirsium vulgare,invasive/disease
Digitalis purpurea,invasive/disease
Dioscorea polystachya,invasive/disease
Elaeagnus umbellata,invasive/disease
Epipactis helleborine,invasive/disease
Euonymus alatus,invasive/disease
Euphorbia cyparissias,invasive/disease
Euproctis chrysorrhoea,invasive/disease
Fiorinia externa,invasive/disease
Frangula alnus,invasive/disease
Galeopsis bifida,invasive/disease
Genista tinctoria,invasive/disease
Heracleum mantegazzianum,invasive/disease
Hylotelephium telephium,invasive/disease
Hypericum prolificum,invasive/disease
Impatiens glandulifera,invasive/disease
Iris pseudacorus,invasive/disease
Jacobaea vulgaris,invasive/disease
Lepidium latifolium,invasive/disease
Ligustrum obtusifolium,invasive/disease
Ligustrum vulgare,invasive/disease
Ligustrum ovalifolium,invasive/disease
Ligustrum sinense,invasive/disease
Litylenchus crenatae,invasive/disease
Lonicera japonica,invasive/disease
Lonicera maackii,invasive/disease
Lonicera morrowii,invasive/disease
Lonicera periclymenum,invasive/disease
Lonicera tatarica,invasive/disease
Lonicera xylosteum,invasive/disease
Lotus corniculatus,invasive/disease
Lupinus polyphyllus,invasive/disease
Lythrum salicaria,invasive/disease
Matsucoccus matsumurae,invasive/disease
Microstegium vimineum,invasive/disease
Operophtera brumata,invasive/disease
Oplismenus hirtellus,invasive/disease
Persicaria perfoliata,invasive/disease
Phellodendron amurense,invasive/disease
Phragmites australis,invasive/disease
Populus alba,invasive/disease
Potentilla recta,invasive/disease
Pyrrhalta viburni,invasive/disease
Reynoutria japonica,invasive/disease
Rhamnus cathartica,invasive/disease
Rosa multiflora,invasive/disease
Rosa rugosa,invasive/disease
Rubus phoenicolasius,invasive/disease
Securigera varia,invasive/disease
Sisymbrium officinale,invasive/disease
Solanum dulcamara,invasive/disease
Spergularia rubra,invasive/disease
Tetropium castaneum,invasive/disease
Trifolium hybridum,invasive/disease
Tussilago farfara,invasive/disease
Typha angustifolia,invasive/disease
Verbascum thapsus,invasive/disease
Vincetoxicum nigrum,invasive/disease
Vincetoxicum rossicum,invasive/disease
Actaea pachypoda,rare/native
Actaea rubra,rare/native
Agalinis purpurea,rare/native
Amphicarpaea bracteata,rare/native
Andropogon gerardi,rare/native
Antennaria neglecta,rare/native
Arisaema triphyllum,rare/native
Asclepias syriaca,rare/native
Asplenium trichomanes,rare/native
Atriplex acadiensis,rare/native
Atriplex dioica,rare/native
Atriplex glabriuscula,rare/native
Bartonia paniculata,rare/native
Bartonia virginica,rare/native
Bombus terricola,rare/native
Calamagrostis inexpansa,rare/native
Calamagrostis stricta,rare/native
Caltha palustris,rare/native
Capnoides sempervirens,rare/native
Carex houghtoniana,rare/native
Carex ormostachya,rare/native
Carex wiegandii,rare/native
Chelone glabra,rare/native
Cicuta maculata,rare/native
Corallorhiza maculata,rare/native
Corallorhiza trifida,rare/native
Corema conradii,rare/native
Cornus rugosa,rare/native
Crataegus macracantha,rare/native
Cuscuta gronovii,rare/native
Cypripedium acaule,rare/native
Cystopteris fragilis,rare/native
Danaus plexippus,rare/native
Dasiphora fruticosa,rare/native
Diphasiastrum digitatum,rare/native
Epigaea repens,rare/native
Epilobium ciliatum,rare/native
Epilobium coloratum,rare/native
Epilobium palustre,rare/native
Equisetum fluviatile,rare/native
Euthamia graminifolia,rare/native
Eutrochium maculatum,rare/native
Fraxinus americana,rare/native
Fraxinus nigra,rare/native
Fraxinus pennsylvanica,rare/native
Geum rivale,rare/native
Goodyera pubescens,rare/native
Hieracium scabrum,rare/native
Huperzia appressa,rare/native
Lilium philadelphicum,rare/native
Lonicera canadensis,rare/native
Lycopodiella inundata,rare/native
Lynx canadensis,rare/native
Lysimachia maritima,rare/native
Maianthemum racemosum,rare/native
Medeola virginiana,rare/native
Mertensia maritima,rare/native
Mollugo verticillata,rare/native
Monotropa hypopitys,rare/native
Panicum virgatum,rare/native
Pinus resinosa,rare/native
Platanthera clavellata,rare/native
Senega sanguinea,rare/native
Polygonatum pubescens,rare/native
Polypodium appalachianum,rare/native
Proserpinaca pectinata,rare/native
Ranunculus recurvatus,rare/native
Rhexia virginica,rare/native
Rhodiola rosea,rare/native
Rhynchospora capitellata,rare/native
Rubus chamaemorus,rare/native
Rubus dalibarda,rare/native
Solidago flexicaulis,rare/native
Sorghastrum nutans,rare/native
Sparganium emersum,rare/native
Spergularia canadensis,rare/native
Spergularia marina,rare/native
Spinulum annotinum,rare/native
Spiranthes cernua,rare/native
Suaeda calceoliformis,rare/native
Symplocarpus foetidus,rare/native
Taxus canadensis,rare/native
Teucrium canadense,rare/native
Toxicodendron radicans,rare/native
Toxicodendron rydbergii,rare/native
Trichophorum cespitosum,rare/native
Trillium cernuum,rare/native
Trillium undulatum,rare/native
Tsuga canadensis,rare/native
Typha latifolia,rare/native
Ursus americanus,rare/native
Uvularia sessilifolia,rare/native
Verbena hastata,rare/native
Viburnum dentatum,rare/native
Viburnum recognitum,rare/native
Woodsia ilvensis,rare/native
Woodwardia virginica,rare/native
Xyris difformis,rare/native
