scientific.name,status,kingdom,phylum,class,order,family,genus,specificEpithet,present
Alasmidonta varicosa,federal/state TE,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Alasmidonta,varicosa,N
Alca torda,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alca,torda,Y
Ammodramus savannarum,federal/state TE,Animalia,Chordata,Aves,Passeriformes,Passerellidae,Ammodramus,savannarum,N
Aquila chrysaetos,federal/state TE,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,Y
Asio flammeus,federal/state TE,Animalia,Chordata,Aves,Strigiformes,Strigidae,Asio,flammeus,Y
Atlanticoncha ochracea,federal/state TE,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Atlanticoncha,ochracea,N
Bartramia longicauda,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,longicauda,Y
Boloria chariclea,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,chariclea,N
Boloria frigga,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Boloria,frigga,N
Bombus affinis,federal/state TE,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,affinis,Y
Botaurus exilis,federal/state TE,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,exilis,N
Bucephala islandica,federal/state TE,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,islandica,Y
Calidris canutus,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,canutus,Y
Callophrys gryneus,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,gryneus,N
Callophrys hesseli,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Callophrys,hesseli,N
Charadrius melodus,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,melodus,Y
Chlidonias niger,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Laridae,Chlidonias,niger,Y
Cicindelidia marginipennis,federal/state TE,Animalia,Arthropoda,Insecta,Coleoptera,Cicindelidae,Cicindelidia,marginipennis,N
Cistothorus stellaris,federal/state TE,Animalia,Chordata,Aves,Passeriformes,Troglodytidae,Cistothorus,stellaris,Y
Clemmys guttata,federal/state TE,Animalia,Chordata,Reptilia,Testudines,Emydidae,Clemmys,guttata,N
Coluber constrictor,federal/state TE,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,constrictor,N
Dermochelys coriacea,federal/state TE,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys,coriacea,N
Emydoidea blandingii,federal/state TE,Animalia,Chordata,Reptilia,Testudines,Emydidae,Emydoidea,blandingii,N
Epeorus frisoni,federal/state TE,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae,Epeorus,frisoni,N
Eretmochelys imbricata,federal/state TE,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,N
Erynnis brizo,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Erynnis,brizo,N
Esox americanus,federal/state TE,Animalia,Chordata,Actinopterygii,Salmoniformes,Esocidae,Esox,americanus,N
Etheostoma fusiforme,federal/state TE,Animalia,Chordata,Actinopterygii,Perciformes,Percidae,Etheostoma,fusiforme,N
Falco peregrinus,federal/state TE,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,peregrinus,Y
Fratercula arctica,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Alcidae,Fratercula,arctica,Y
Gallinula galeata,federal/state TE,Animalia,Chordata,Aves,Gruiformes,Rallidae,Gallinula,galeata,N
Histrionicus histrionicus,federal/state TE,Animalia,Chordata,Aves,Anseriformes,Anatidae,Histrionicus,histrionicus,Y
Isotria medeoloides,federal/state TE,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Isotria,medeoloides,N
Lampsilis cariosa,federal/state TE,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,Lampsilis,cariosa,N
Lycia rachelae,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lycia,rachelae,N
Lynx canadensis,federal/state TE,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,canadensis,N
Mictomys borealis,federal/state TE,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Mictomys,borealis,N
Myotis leibii,federal/state TE,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,leibii,Y
Myotis lucifugus,federal/state TE,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,lucifugus,Y
Myotis septentrionalis,federal/state TE,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,septentrionalis,N
Nycticorax nycticorax,federal/state TE,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,nycticorax,Y
Oeneis polixenes,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Oeneis,polixenes,N
Ophiogomphus colubrinus,federal/state TE,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Ophiogomphus,colubrinus,N
Pedicularis furbishiae,federal/state TE,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,furbishiae,N
Phanogomphus quadricolor,federal/state TE,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,Phanogomphus,quadricolor,N
Platanthera leucophaea,federal/state TE,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Platanthera,leucophaea,N
Salmo salar,federal/state TE,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,salar,Y
Satyrium edwardsii,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Satyrium,edwardsii,N
Siphlonisca aerodromia,federal/state TE,Animalia,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,Siphlonisca,aerodromia,N
Sterna dougallii,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,dougallii,Y
Sterna paradisaea,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,paradisaea,Y
Sternula antillarum,federal/state TE,Animalia,Chordata,Aves,Charadriiformes,Laridae,Sternula,antillarum,N
Sylvilagus transitionalis,federal/state TE,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Sylvilagus,transitionalis,N
Terrapene carolina,federal/state TE,Animalia,Chordata,Reptilia,Testudines,Emydidae,Terrapene,carolina,N
Tharsalea dorcas,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Tharsalea,dorcas,N
Vertigo morsei,federal/state TE,Animalia,Mollusca,Gastropoda,Stylommatophora,Vertiginidae,Vertigo,morsei,N
Williamsonia lintneri,federal/state TE,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Williamsonia,lintneri,N
Zanclognatha martha,federal/state TE,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Zanclognatha,martha,N
Acer ginnala,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,ginnala,Y
Acer platanoides,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,platanoides,Y
Achillea ptarmica,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Achillea,ptarmica,Y
Adelges piceae,invasive/disease,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,piceae,Y
Adelges tsugae,invasive/disease,Animalia,Arthropoda,Insecta,Hemiptera,Adelgidae,Adelges,tsugae,Y
Aegopodium podagraria,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Aegopodium,podagraria,Y
Agrilus planipennis,invasive/disease,Animalia,Arthropoda,Insecta,Coleoptera,Buprestidae,Agrilus,planipennis,N
Ailanthus altissima,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,Ailanthus,altissima,N
Akebia quinata,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Lardizabalaceae,Akebia,quinata,N
Alliaria petiolata,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Alliaria,petiolata,Y
Alnus glutinosa,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,glutinosa,N
Amorpha fruticosa,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Amorpha,fruticosa,N
Ampelopsis glandulosa,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Ampelopsis,glandulosa,N
Amynthas agrestis,invasive/disease,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,agrestis,Y
Amynthas corticis,invasive/disease,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,corticis,Y
Amynthas diffringens,invasive/disease,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,diffringens,Y
Amynthas gracilis,invasive/disease,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,gracilis,Y
Amynthas sexpectatus,invasive/disease,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,sexpectatus,Y
Amynthas tokioensis,invasive/disease,Animalia,Annelida,Clitellata,Crassiclitellata,Megascolecidae,Amynthas,tokioensis,Y
Anoplophora glabripennis,invasive/disease,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Anoplophora,glabripennis,N
Anthriscus sylvestris,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Anthriscus,sylvestris,N
Berberis thunbergii,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,thunbergii,Y
Berberis vulgaris,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,vulgaris,N
Bretziella fagacearum,invasive/disease,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Bretziella,fagacearum,N
Butomus umbellatus,invasive/disease,Plantae,Tracheophyta,Liliopsida,Alismatales,Butomaceae,Butomus,umbellatus,N
Calluna vulgaris,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Calluna,vulgaris,Y
Cardamine impatiens,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,impatiens,Y
Celastrus orbiculatus,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Celastrus,orbiculatus,Y
Centaurea nigrescens,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,nigrescens,Y
Centaurea stoebe,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,stoebe,Y
Choristoneura fumiferana,invasive/disease,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Choristoneura,fumiferana,N
Cirsium arvense,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,arvense,Y
Cirsium vulgare,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,vulgare,Y
Digitalis purpurea,invasive/disease,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalis,purpurea,Y
Dioscorea polystachya,invasive/disease,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Dioscoreaceae,Dioscorea,polystachya,N
