"common.name","scientific.name","subspecies","iconic.taxon.name","observed.on","year","month","quality.grade","latitude","longitude","user.login","id","time.observed.at","user.id","license","url","image.url","sound.url","tag.list","description","num.identification.agreements","num.identification.disagreements","captive.cultivated","oauth.application.id","place.guess","positional.accuracy","coordinates.obscured","species.guess","full.scientific.name","taxon.id","kingdom","phylum","class","order","family","genus","OBJECTID.1","park"
"northern red oak","Quercus rubra","","Plantae","2016-09-13",2016,9,"research",46.1229083333,-68.7978583333,"vermonted802",4101803,"2016-09-13 15:11:22 UTC",13197,"CC-BY-NC","http://www.inaturalist.org/observations/4101803","https://inaturalist-open-data.s3.amazonaws.com/photos/4873464/medium.jpg","","","",2,0,"false",3,"East Branch Penobscot River, North Penobscot, ME, US",NA,"false","Northern Red Oak","Quercus rubra",49005,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Quercus",423,"KAWW"
"eagle fern","Pteridium aquilinum","","Plantae","2016-09-13",2016,9,"research",46.1228945,-68.797745,"vermonted802",4102396,"2016-09-13 15:11:06 UTC",13197,"CC-BY-NC","http://www.inaturalist.org/observations/4102396","https://inaturalist-open-data.s3.amazonaws.com/photos/4873490/medium.jpg","","","",2,0,"false",3,"East Branch Penobscot River, North Penobscot, ME, US",NA,"false","western bracken","Pteridium aquilinum latiusculum",210269,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dennstaedtiaceae","Pteridium",423,"KAWW"
"striped maple","Acer pensylvanicum","","Plantae","2016-09-13",2016,9,"research",46.1235666667,-68.7976,"vermonted802",4102426,"2016-09-13 15:00:15 UTC",13197,"CC-BY-NC","http://www.inaturalist.org/observations/4102426","https://inaturalist-open-data.s3.amazonaws.com/photos/4873512/medium.jpg","","","",1,0,"false",3,"04765, North Penobscot, ME, US",NA,"false","Striped Maple","Acer pensylvanicum",48095,"Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",423,"KAWW"
"red pine","Pinus resinosa","","Plantae","2016-09-13",2016,9,"research",46.1234278333,-68.79795,"vermonted802",4102451,"2016-09-13 14:59:44 UTC",13197,"CC-BY-NC","http://www.inaturalist.org/observations/4102451","https://inaturalist-open-data.s3.amazonaws.com/photos/4873534/medium.jpg","","","",1,0,"false",3,"04765, North Penobscot, ME, US",NA,"false","red pine","Pinus resinosa",52383,"Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus",423,"KAWW"
"paper birch","Betula papyrifera","","Plantae","2016-09-13",2016,9,"research",46.1229445,-68.8003616667,"vermonted802",4102463,"2016-09-13 14:57:02 UTC",13197,"CC-BY-NC","http://www.inaturalist.org/observations/4102463","https://inaturalist-open-data.s3.amazonaws.com/photos/4875679/medium.jpg","","","",1,0,"false",3,"04765, North Penobscot, ME, US",NA,"false","paper birch","Betula papyrifera",49883,"Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Betula",423,"KAWW"
"tamarack","Larix laricina","","Plantae","2016-09-13",2016,9,"research",46.1229333333,-68.8004133333,"vermonted802",4103819,"2016-09-13 14:56:44 UTC",13197,"CC-BY-NC","http://www.inaturalist.org/observations/4103819","https://inaturalist-open-data.s3.amazonaws.com/photos/4875688/medium.jpg","","","",1,0,"false",3,"04765, North Penobscot, ME, US",NA,"false","Tamarack","Larix laricina",58721,"Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Larix",423,"KAWW"
"eastern white pine","Pinus strobus","","Plantae","2016-09-13",2016,9,"research",46.123025,-68.8000866667,"vermonted802",4103828,"2016-09-13 14:57:31 UTC",13197,"CC-BY-NC","http://www.inaturalist.org/observations/4103828","https://inaturalist-open-data.s3.amazonaws.com/photos/4875698/medium.jpg","","","",1,0,"false",3,"04765, North Penobscot, ME, US",NA,"false","Eastern White Pine","Pinus strobus",52391,"Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","Pinus",423,"KAWW"
"creeping snowberry","Gaultheria hispidula","","Plantae","2016-09-12",2016,9,"research",45.9389364764,-68.7452209413,"vermonted802",7433932,"2016-09-12 18:06:55 UTC",13197,"CC-BY-NC","https://www.inaturalist.org/observations/7433932","https://inaturalist-open-data.s3.amazonaws.com/photos/9663101/medium.jpg","","","",1,0,"false",3,"00130, North Penobscot, ME, US",5206,"false","Creeping Snowberry","Gaultheria hispidula",53460,"Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","Gaultheria",423,"KAWW"
"American Beaver","Castor canadensis","","Mammalia","2016-09-19",2016,9,"research",45.9342781005,-68.7439154666,"vermonted802",7433975,"2016-09-19 14:25:17 UTC",13197,"CC-BY-NC","https://www.inaturalist.org/observations/7433975","https://inaturalist-open-data.s3.amazonaws.com/photos/9663216/medium.jpg","","","",5,0,"false",3,"00130, North Penobscot, ME, US",1248,"false","American Beaver","Castor canadensis",43794,"Animalia","Chordata","Mammalia","Rodentia","Castoridae","Castor",423,"KAWW"
"Coyote","Canis latrans","","Mammalia","2016-09-19",2016,9,"research",45.9370699369,-68.7312077258,"vermonted802",7434009,"2016-09-19 15:07:49 UTC",13197,"CC-BY-NC","https://www.inaturalist.org/observations/7434009","https://inaturalist-open-data.s3.amazonaws.com/photos/9663261/medium.jpg","","","",1,0,"false",3,"00130, North Penobscot, ME, US",5511,"false","Coyote","Canis latrans",42051,"Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis",423,"KAWW"
