"scientific.name","status","category","subcategory","present","kingdom","phylum","class","order","family","genus","specificEpithet"
"Alasmidonta varicosa","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Mollusca","Bivalvia","Unionida","Unionidae","Alasmidonta","varicosa"
"Alca torda","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Alca","torda"
"Ammodramus savannarum","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Passeriformes","Passerellidae","Ammodramus","savannarum"
"Aquila chrysaetos","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Aquila","chrysaetos"
"Asio flammeus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Strigiformes","Strigidae","Asio","flammeus"
"Atlanticoncha ochracea","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Mollusca","Bivalvia","Unionida","Unionidae","Atlanticoncha","ochracea"
"Bartramia longicauda","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Bartramia","longicauda"
"Boloria chariclea","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","chariclea"
"Boloria frigga","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Boloria","frigga"
"Bombus affinis","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus","affinis"
"Botaurus exilis","federal/state TE","federal/state TE","federal/state TE","Y","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Botaurus","exilis"
"Bucephala islandica","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Anseriformes","Anatidae","Bucephala","islandica"
"Calidris canutus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Calidris","canutus"
"Callophrys gryneus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys","gryneus"
"Callophrys hesseli","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys","hesseli"
"Charadrius melodus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","melodus"
"Chlidonias niger","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Laridae","Chlidonias","niger"
"Cicindelidia marginipennis","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Coleoptera","Cicindelidae","Cicindelidia","marginipennis"
"Cistothorus stellaris","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Passeriformes","Troglodytidae","Cistothorus","stellaris"
"Clemmys guttata","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Reptilia","Testudines","Emydidae","Clemmys","guttata"
"Coluber constrictor","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Reptilia","Squamata","Colubridae","Coluber","constrictor"
"Dermochelys coriacea","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Reptilia","Testudines","Dermochelyidae","Dermochelys","coriacea"
"Emydoidea blandingii","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Reptilia","Testudines","Emydidae","Emydoidea","blandingii"
"Epeorus frisoni","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Epeorus","frisoni"
"Eretmochelys imbricata","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Reptilia","Testudines","Cheloniidae","Eretmochelys","imbricata"
"Erynnis brizo","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Erynnis","brizo"
"Esox americanus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Actinopterygii","Salmoniformes","Esocidae","Esox","americanus"
"Etheostoma fusiforme","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Actinopterygii","Perciformes","Percidae","Etheostoma","fusiforme"
"Falco peregrinus","federal/state TE","federal/state TE","federal/state TE","Y","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","peregrinus"
"Fratercula arctica","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Charadriiformes","Alcidae","Fratercula","arctica"
"Gallinula galeata","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Gruiformes","Rallidae","Gallinula","galeata"
"Histrionicus histrionicus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Anseriformes","Anatidae","Histrionicus","histrionicus"
"Isotria medeoloides","federal/state TE","federal/state TE","federal/state TE","N","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Isotria","medeoloides"
"Lampsilis cariosa","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Mollusca","Bivalvia","Unionida","Unionidae","Lampsilis","cariosa"
"Lycia rachelae","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lycia","rachelae"
"Lynx canadensis","federal/state TE","federal/state TE","federal/state TE","Y","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","canadensis"
"Mictomys borealis","federal/state TE","federal/state TE","federal/state TE","U","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Mictomys","borealis"
"Myotis leibii","federal/state TE","federal/state TE","federal/state TE","U","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","leibii"
"Myotis lucifugus","federal/state TE","federal/state TE","federal/state TE","U","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","lucifugus"
"Myotis septentrionalis","federal/state TE","federal/state TE","federal/state TE","U","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotis","septentrionalis"
"Nycticorax nycticorax","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Chordata","Aves","Pelecaniformes","Ardeidae","Nycticorax","nycticorax"
"Oeneis polixenes","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Oeneis","polixenes"
"Ophiogomphus colubrinus","federal/state TE","federal/state TE","federal/state TE","N","Animalia","Arthropoda","Insecta","Odonata","Gomphidae","Ophiogomphus","colubrinus"
"Pedicularis furbishiae","federal/state TE","federal/state TE","federal/state TE","N","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","furbishiae"
