year,total.observations,total.spp,total.observers
1960,0,0,0
1961,0,0,0
1962,0,0,0
1963,0,0,0
1964,0,0,0
1965,0,0,0
1966,0,0,0
1967,0,0,0
1968,0,0,0
1969,0,0,0
1970,0,0,0
1971,0,0,0
1972,0,0,0
1973,0,0,0
1974,0,0,0
1975,0,0,0
1976,2,2,1
1977,2,2,1
1978,2,2,1
1979,2,2,1
1980,2,2,1
1981,3,3,2
1982,3,3,2
1983,3,3,2
1984,3,3,2
1985,3,3,2
1986,3,3,2
1987,3,3,2
1988,3,3,2
1989,3,3,2
1990,3,3,2
1991,3,3,2
1992,11,11,3
1993,11,11,3
1994,11,11,3
1995,11,11,3
1996,11,11,3
1997,11,11,3
1998,13,13,4
1999,13,13,4
2000,19,18,6
2001,21,19,8
2002,22,20,9
2003,24,21,10
2004,28,25,12
2005,69,50,18
2006,72,53,19
2007,105,74,25
2008,159,103,37
2009,216,134,52
2010,294,172,73
2011,371,217,85
2012,457,246,101
2013,606,301,115
2014,986,466,144
2015,1557,626,196
2016,4019,1080,356
2017,6548,1329,584
2018,10027,1598,1002
2019,14562,1882,1622
2020,19254,2092,2094
2021,33512,2602,3278
2022,48663,3126,4371
