scientific.name,group
Calluna vulgaris,plant
Celastrus orbiculatus,plant
Lotus corniculatus,plant
Solanum dulcamara,plant
Rosa rugosa,plant
Lupinus polyphyllus,plant
Verbascum thapsus,plant
Securigera varia,plant
Epipactis helleborine,plant
Acer platanoides,plant
Cirsium vulgare,plant
Cirsium arvense,plant
Tussilago farfara,plant
Frangula alnus,plant
Berberis thunbergii,plant
Cardamine impatiens,plant
Typha angustifolia,plant
Achillea ptarmica,plant
Euphorbia cyparissias,plant
Euproctis chrysorrhoea,insect
Centaurea stoebe,plant
Trifolium hybridum,plant
Jacobaea vulgaris,plant
Lythrum salicaria,plant
Lonicera maackii,plant
Spergularia rubra,plant
Phellodendron amurense,plant
Genista tinctoria,plant
Potentilla recta,plant
Galeopsis bifida,plant
Populus alba,plant
Rosa multiflora,plant
Hypericum prolificum,plant
Phragmites australis,plant
Adelges tsugae,insect
Litylenchus crenatae,disease
Adelges piceae,insect
Reynoutria japonica,plant
Digitalis purpurea,plant
