id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
4101803,Tue Sep 13 2016 11:11:22 GMT-0400 (EDT),2016-09-13,2016-09-13 15:11:22 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2016-09-13 18:47:02 UTC,2017-02-14 16:25:41 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4101803,https://inaturalist-open-data.s3.amazonaws.com/photos/4873464/medium.jpg,,false,"East Branch Penobscot River, North Penobscot, ME, US",46.1229083333,-68.7978583333,,,,,,,,false,,,Northern Red Oak,Quercus rubra,northern red oak,Plantae,49005,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus rubra,
4102396,Tue Sep 13 2016 11:11:06 GMT-0400 (EDT),2016-09-13,2016-09-13 15:11:06 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2016-09-13 20:29:37 UTC,2019-10-26 15:28:33 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4102396,https://inaturalist-open-data.s3.amazonaws.com/photos/4873490/medium.jpg,,false,"East Branch Penobscot River, North Penobscot, ME, US",46.1228945,-68.797745,,,,,,,,false,,,western bracken,Pteridium aquilinum latiusculum,eagle fern,Plantae,210269,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dennstaedtiaceae,Pteridium,Pteridium aquilinum,
4102426,Tue Sep 13 2016 11:00:15 GMT-0400 (EDT),2016-09-13,2016-09-13 15:00:15 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2016-09-13 20:33:12 UTC,2016-09-19 13:08:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4102426,https://inaturalist-open-data.s3.amazonaws.com/photos/4873512/medium.jpg,,false,"04765, North Penobscot, ME, US",46.1235666667,-68.7976,,,,,,,,false,,,Striped Maple,Acer pensylvanicum,striped maple,Plantae,48095,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer pensylvanicum,
4102451,Tue Sep 13 2016 10:59:44 GMT-0400 (EDT),2016-09-13,2016-09-13 14:59:44 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2016-09-13 20:34:59 UTC,2020-09-23 18:22:38 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4102451,https://inaturalist-open-data.s3.amazonaws.com/photos/4873534/medium.jpg,,false,"04765, North Penobscot, ME, US",46.1234278333,-68.79795,,,,,,,open,false,,,red pine,Pinus resinosa,red pine,Plantae,52383,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus resinosa,
4102463,Tue Sep 13 2016 10:57:02 GMT-0400 (EDT),2016-09-13,2016-09-13 14:57:02 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2016-09-13 20:37:26 UTC,2019-04-19 20:23:29 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4102463,https://inaturalist-open-data.s3.amazonaws.com/photos/4875679/medium.jpg,,false,"04765, North Penobscot, ME, US",46.1229445,-68.8003616667,,,,,,,open,false,,,paper birch,Betula papyrifera,paper birch,Plantae,49883,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula papyrifera,
4103819,Tue Sep 13 2016 10:56:44 GMT-0400 (EDT),2016-09-13,2016-09-13 14:56:44 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2016-09-13 23:43:32 UTC,2016-09-14 01:12:56 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4103819,https://inaturalist-open-data.s3.amazonaws.com/photos/4875688/medium.jpg,,false,"04765, North Penobscot, ME, US",46.1229333333,-68.8004133333,,,,,,,,false,,,Tamarack,Larix laricina,tamarack,Plantae,58721,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Larix,Larix laricina,
4103828,Tue Sep 13 2016 10:57:31 GMT-0400 (EDT),2016-09-13,2016-09-13 14:57:31 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2016-09-13 23:44:40 UTC,2016-09-19 13:08:09 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4103828,https://inaturalist-open-data.s3.amazonaws.com/photos/4875698/medium.jpg,,false,"04765, North Penobscot, ME, US",46.123025,-68.8000866667,,,,,,,,false,,,Eastern White Pine,Pinus strobus,eastern white pine,Plantae,52391,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus strobus,
7433932,Mon Sep 12 2016 14:06:55 GMT-0400 (EDT),2016-09-12,2016-09-12 18:06:55 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2017-08-10 14:33:22 UTC,2017-08-10 14:44:25 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7433932,https://inaturalist-open-data.s3.amazonaws.com/photos/9663101/medium.jpg,,false,"00130, North Penobscot, ME, US",45.9389364764,-68.7452209413,5206,,,,5206,,,false,,,Creeping Snowberry,Gaultheria hispidula,creeping snowberry,Plantae,53460,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Gaultheria,Gaultheria hispidula,
7433975,Mon Sep 19 2016 10:25:17 GMT-0400 (EDT),2016-09-19,2016-09-19 14:25:17 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2017-08-10 14:36:18 UTC,2023-06-03 02:56:54 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7433975,https://inaturalist-open-data.s3.amazonaws.com/photos/9663216/medium.jpg,,false,"00130, North Penobscot, ME, US",45.9342781005,-68.7439154666,1248,,,,1248,,open,false,,,American Beaver,Castor canadensis,American Beaver,Mammalia,43794,Animalia,Chordata,Mammalia,Rodentia,Castoridae,Castor,Castor canadensis,
7434009,Mon Sep 19 2016 11:07:49 GMT-0400 (EDT),2016-09-19,2016-09-19 15:07:49 UTC,Eastern Time (US & Canada),13197,vermonted802,Ed Sharron,2017-08-10 14:38:31 UTC,2022-06-13 01:42:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7434009,https://inaturalist-open-data.s3.amazonaws.com/photos/9663261/medium.jpg,,false,"00130, North Penobscot, ME, US",45.9370699369,-68.7312077258,5511,,,,5511,,open,false,,,Coyote,Canis latrans,Coyote,Mammalia,42051,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis latrans,
7680281,2017/08/25 6:45 AM EST,2017-08-25,2017-08-25 10:45:00 UTC,Eastern Time (US & Canada),185467,emmakaminsky,,2017-08-27 23:19:51 UTC,2021-07-15 00:05:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7680281,https://inaturalist-open-data.s3.amazonaws.com/photos/10059791/medium.jpg,,false,"Penobscot County, ME, USA",45.9075693598,-68.6149406433,244,,,,244,,open,false,,,Northern Leopard Frog,Lithobates pipiens,Northern Leopard Frog,Amphibia,66003,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates pipiens,
7680282,2017/08/25 4:35 PM EST,2017-08-25,2017-08-25 20:35:00 UTC,Eastern Time (US & Canada),185467,emmakaminsky,,2017-08-27 23:19:51 UTC,2021-07-15 00:05:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7680282,https://inaturalist-open-data.s3.amazonaws.com/photos/10059851/medium.jpg,,false,"Penobscot County, ME, USA",45.8727999641,-68.681974411,161,,,,161,,,false,,,Pickerel Frog,Lithobates palustris,Pickerel Frog,Amphibia,66002,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,Lithobates palustris,
7680283,2017/08/26 1:03 PM EST,2017-08-26,2017-08-26 17:03:00 UTC,Eastern Time (US & Canada),185467,emmakaminsky,,2017-08-27 23:19:51 UTC,2021-07-15 00:05:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7680283,https://inaturalist-open-data.s3.amazonaws.com/photos/10059871/medium.jpg,,false,"Penobscot County, ME, USA",45.9349155398,-68.7524414063,780,,,,780,,,false,,,Common Garter Snake,Thamnophis sirtalis,Common Garter Snake,Reptilia,28362,Animalia,Chordata,Reptilia,Squamata,Colubridae,Thamnophis,Thamnophis sirtalis,
7680284,2017/08/26 1:55 PM EST,2017-08-26,2017-08-26 17:55:00 UTC,Eastern Time (US & Canada),185467,emmakaminsky,,2017-08-27 23:19:51 UTC,2023-06-18 18:16:59 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/7680284,https://inaturalist-open-data.s3.amazonaws.com/photos/10059877/medium.jpg,,false,"Penobscot County, ME, USA",45.929901147,-68.7575912697,700,,,,700,,,false,,,Viceroy,Limenitis archippus,Viceroy,Insecta,58586,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,Limenitis archippus,
8441164,2017/10/04 12:04 PM EDT,2017-10-04,2017-10-04 16:04:00 UTC,Eastern Time (US & Canada),673068,david8266,David Goldstein,2017-10-17 15:51:22 UTC,2017-10-18 01:54:00 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8441164,https://inaturalist-open-data.s3.amazonaws.com/photos/11244193/medium.jpeg,,false,"Penobscot County, ME, USA",45.9441027778,-68.6434861111,,,,,,,,false,,,partridgeberry,Mitchella repens,partridgeberry,Plantae,83799,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mitchella,Mitchella repens,
13501110,Sat Jun 16 2018 09:06:17 GMT-0400 (EDT),2018-06-16,2018-06-16 13:06:17 UTC,Eastern Time (US & Canada),323533,davidsarkozi,David Sarkozi,2018-06-17 00:54:20 UTC,2022-06-13 01:43:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/13501110,https://inaturalist-open-data.s3.amazonaws.com/photos/19830372/medium.jpg,,false,"Swift Brook Rd, Stacyville, ME, US",45.86655,-68.6785466667,,,,,,,,false,,,buttercups,Ranunculus,buttercups,Plantae,48230,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,,
13501115,Sat Jun 16 2018 09:21:44 GMT-0400 (EDT),2018-06-16,2018-06-16 13:21:44 UTC,Eastern Time (US & Canada),323533,davidsarkozi,David Sarkozi,2018-06-17 00:54:34 UTC,2018-06-17 01:20:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13501115,https://inaturalist-open-data.s3.amazonaws.com/photos/19830382/medium.jpg,,false,"Stacyville, ME  04777, Stacyville, ME, US",45.8690983333,-68.7074916667,0,,,,0,,open,false,,,Palm Warbler,Setophaga palmarum,Palm Warbler,Aves,145242,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,Setophaga palmarum,
