"class","order","num.obs"
"Aves","Accipitriformes",12543
"Aves","Anseriformes",48009
"Aves","Caprimulgiformes",2085
"Aves","Cathartiformes",5648
"Aves","Charadriiformes",62740
"Aves","Columbiformes",5677
"Aves","Coraciiformes",1675
"Aves","Cuculiformes",209
"Aves","Falconiformes",3363
"Aves","Galliformes",1959
"Aves","Gaviiformes",11502
"Aves","Gruiformes",88
"Aves","Passeriformes",270698
"Aves","Pelecaniformes",3451
"Aves","Piciformes",18569
"Aves","Podicipediformes",4210
"Aves","Procellariiformes",318
"Aves","Strigiformes",1739
"Aves","Suliformes",17872
