parents,labels,num.obs
,Aves,472355
Aves,Accipitriformes,12543
Aves,Anseriformes,48009
Aves,Caprimulgiformes,2085
Aves,Cathartiformes,5648
Aves,Charadriiformes,62740
Aves,Columbiformes,5677
Aves,Coraciiformes,1675
Aves,Cuculiformes,209
Aves,Falconiformes,3363
Aves,Galliformes,1959
Aves,Gaviiformes,11502
Aves,Gruiformes,88
Aves,Passeriformes,270698
Aves,Pelecaniformes,3451
Aves,Piciformes,18569
Aves,Podicipediformes,4210
Aves,Procellariiformes,318
Aves,Strigiformes,1739
Aves,Suliformes,17872
Accipitriformes,Accipitridae,9701
Accipitriformes,Pandionidae,2842
Anseriformes,Anatidae,48009
Caprimulgiformes,Apodidae,249
Caprimulgiformes,Caprimulgidae,340
Caprimulgiformes,Trochilidae,1496
Cathartiformes,Cathartidae,5648
Charadriiformes,Alcidae,11721
Charadriiformes,Charadriidae,781
Charadriiformes,Haematopodidae,6
Charadriiformes,Laridae,45621
Charadriiformes,Scolopacidae,4468
Charadriiformes,Stercorariidae,127
Columbiformes,Columbidae,5677
Coraciiformes,Alcedinidae,1675
Cuculiformes,Cuculidae,209
Falconiformes,Falconidae,3363
Galliformes,Numididae,1
Galliformes,Odontophoridae,1
Galliformes,Phasianidae,1957
Gaviiformes,Gaviidae,11502
Gruiformes,Gruidae,5
Gruiformes,Rallidae,83
Passeriformes,Alaudidae,82
Passeriformes,Bombycillidae,6077
Passeriformes,Calcariidae,284
Passeriformes,Cardinalidae,1957
Passeriformes,Certhiidae,3323
Passeriformes,Corvidae,34141
Passeriformes,Fringillidae,17001
Passeriformes,Hirundinidae,1351
Passeriformes,Icteridae,3823
Passeriformes,Icteriidae,15
Passeriformes,Laniidae,58
Passeriformes,Mimidae,3683
Passeriformes,Motacillidae,161
Passeriformes,Muscicapidae,2
Passeriformes,Paridae,17099
Passeriformes,Parulidae,72594
Passeriformes,Passerellidae,34015
Passeriformes,Passeridae,340
Passeriformes,Polioptilidae,25
Passeriformes,Regulidae,11380
Passeriformes,Sittidae,12675
Passeriformes,Sturnidae,795
Passeriformes,Troglodytidae,4884
Passeriformes,Turdidae,21806
Passeriformes,Tyrannidae,10849
Passeriformes,Vireonidae,11921
Pelecaniformes,Ardeidae,3451
Piciformes,Picidae,18569
Podicipediformes,Podicipedidae,4210
Procellariiformes,Hydrobatidae,14
Procellariiformes,Oceanitidae,173
Procellariiformes,Procellariidae,117
Strigiformes,Strigidae,1739
Suliformes,Phalacrocoracidae,15690
Suliformes,Sulidae,2182
