"class","order","family","num.obs"
"Aves","Accipitriformes","Accipitridae",199
"Aves","Accipitriformes","Pandionidae",12
"Aves","Anseriformes","Anatidae",223
"Aves","Caprimulgiformes","Apodidae",73
"Aves","Caprimulgiformes","Caprimulgidae",59
"Aves","Caprimulgiformes","Trochilidae",42
"Aves","Cathartiformes","Cathartidae",107
"Aves","Charadriiformes","Laridae",7
"Aves","Charadriiformes","Scolopacidae",68
"Aves","Columbiformes","Columbidae",25
"Aves","Coraciiformes","Alcedinidae",185
"Aves","Cuculiformes","Cuculidae",11
"Aves","Falconiformes","Falconidae",36
"Aves","Galliformes","Phasianidae",267
"Aves","Gaviiformes","Gaviidae",15
"Aves","Gruiformes","Rallidae",4
"Aves","Passeriformes","Alaudidae",1
"Aves","Passeriformes","Bombycillidae",209
"Aves","Passeriformes","Calcariidae",4
"Aves","Passeriformes","Cardinalidae",136
"Aves","Passeriformes","Certhiidae",42
"Aves","Passeriformes","Corvidae",699
"Aves","Passeriformes","Fringillidae",372
"Aves","Passeriformes","Hirundinidae",51
"Aves","Passeriformes","Icteridae",149
"Aves","Passeriformes","Laniidae",1
"Aves","Passeriformes","Mimidae",30
"Aves","Passeriformes","Motacillidae",2
"Aves","Passeriformes","Paridae",446
"Aves","Passeriformes","Parulidae",3690
"Aves","Passeriformes","Passerellidae",1060
"Aves","Passeriformes","Regulidae",464
"Aves","Passeriformes","Sittidae",420
"Aves","Passeriformes","Sturnidae",1
"Aves","Passeriformes","Troglodytidae",152
"Aves","Passeriformes","Turdidae",1186
"Aves","Passeriformes","Tyrannidae",467
"Aves","Passeriformes","Vireonidae",624
"Aves","Pelecaniformes","Ardeidae",40
"Aves","Piciformes","Picidae",843
"Aves","Podicipediformes","Podicipedidae",1
"Aves","Strigiformes","Strigidae",22
