parents,labels,num.obs
,Aves,12458
Aves,Accipitriformes,211
Aves,Anseriformes,223
Aves,Caprimulgiformes,174
Aves,Cathartiformes,107
Aves,Charadriiformes,75
Aves,Columbiformes,25
Aves,Coraciiformes,185
Aves,Cuculiformes,11
Aves,Falconiformes,36
Aves,Galliformes,267
Aves,Gaviiformes,15
Aves,Gruiformes,4
Aves,Passeriformes,10219
Aves,Pelecaniformes,40
Aves,Piciformes,843
Aves,Podicipediformes,1
Aves,Strigiformes,22
Accipitriformes,Accipitridae,199
Accipitriformes,Pandionidae,12
Anseriformes,Anatidae,223
Caprimulgiformes,Apodidae,73
Caprimulgiformes,Caprimulgidae,59
Caprimulgiformes,Trochilidae,42
Cathartiformes,Cathartidae,107
Charadriiformes,Laridae,7
Charadriiformes,Scolopacidae,68
Columbiformes,Columbidae,25
Coraciiformes,Alcedinidae,185
Cuculiformes,Cuculidae,11
Falconiformes,Falconidae,36
Galliformes,Phasianidae,267
Gaviiformes,Gaviidae,15
Gruiformes,Rallidae,4
Passeriformes,Alaudidae,1
Passeriformes,Bombycillidae,209
Passeriformes,Calcariidae,4
Passeriformes,Cardinalidae,136
Passeriformes,Certhiidae,42
Passeriformes,Corvidae,699
Passeriformes,Fringillidae,372
Passeriformes,Hirundinidae,51
Passeriformes,Icteridae,149
Passeriformes,Laniidae,1
Passeriformes,Mimidae,30
Passeriformes,Motacillidae,2
Passeriformes,Paridae,446
Passeriformes,Parulidae,3690
Passeriformes,Passerellidae,1060
Passeriformes,Regulidae,464
Passeriformes,Sittidae,420
Passeriformes,Sturnidae,1
Passeriformes,Troglodytidae,152
Passeriformes,Turdidae,1186
Passeriformes,Tyrannidae,467
Passeriformes,Vireonidae,624
Pelecaniformes,Ardeidae,40
Piciformes,Picidae,843
Podicipediformes,Podicipedidae,1
Strigiformes,Strigidae,22
