"kingdom","phylum","num.obs"
"Animalia","Annelida",7
"Animalia","Arthropoda",5275
"Animalia","Bryozoa",2
"Animalia","Chordata",4719
"Animalia","Cnidaria",48
"Animalia","Ctenophora",1
"Animalia","Echinodermata",98
"Animalia","Mollusca",663
"Animalia","Porifera",8
"Bacteria","Proteobacteria",1
"Chromista","Ochrophyta",215
"Fungi","Ascomycota",648
"Fungi","Basidiomycota",896
"Fungi","Mucoromycota",1
"Plantae","Bryophyta",171
"Plantae","Chlorophyta",53
"Plantae","Marchantiophyta",15
"Plantae","Rhodophyta",100
"Plantae","Tracheophyta",15837
"Protozoa","Mycetozoa",21
