"kingdom","phylum","class","num.obs","parents"
"Animalia","Annelida","Clitellata",2,"Animalia - Annelida"
"Animalia","Annelida","Polychaeta",5,"Animalia - Annelida"
"Animalia","Arthropoda","Arachnida",302,"Animalia - Arthropoda"
"Animalia","Arthropoda","Entognatha",28,"Animalia - Arthropoda"
"Animalia","Arthropoda","Hexanauplia",89,"Animalia - Arthropoda"
"Animalia","Arthropoda","Insecta",4423,"Animalia - Arthropoda"
"Animalia","Arthropoda","Malacostraca",433,"Animalia - Arthropoda"
"Animalia","Bryozoa","Gymnolaemata",2,"Animalia - Bryozoa"
"Animalia","Chordata","Actinopterygii",78,"Animalia - Chordata"
"Animalia","Chordata","Amphibia",820,"Animalia - Chordata"
"Animalia","Chordata","Ascidiacea",3,"Animalia - Chordata"
"Animalia","Chordata","Aves",2619,"Animalia - Chordata"
"Animalia","Chordata","Mammalia",840,"Animalia - Chordata"
"Animalia","Chordata","Reptilia",359,"Animalia - Chordata"
"Animalia","Cnidaria","Anthozoa",43,"Animalia - Cnidaria"
"Animalia","Cnidaria","Hydrozoa",1,"Animalia - Cnidaria"
"Animalia","Cnidaria","Scyphozoa",4,"Animalia - Cnidaria"
"Animalia","Ctenophora","Tentaculata",1,"Animalia - Ctenophora"
"Animalia","Echinodermata","Asteroidea",28,"Animalia - Echinodermata"
"Animalia","Echinodermata","Echinoidea",67,"Animalia - Echinodermata"
"Animalia","Echinodermata","Holothuroidea",1,"Animalia - Echinodermata"
"Animalia","Echinodermata","Ophiuroidea",2,"Animalia - Echinodermata"
"Animalia","Mollusca","Bivalvia",142,"Animalia - Mollusca"
"Animalia","Mollusca","Gastropoda",520,"Animalia - Mollusca"
"Animalia","Mollusca","Polyplacophora",1,"Animalia - Mollusca"
"Animalia","Porifera","Demospongiae",8,"Animalia - Porifera"
"Bacteria","Proteobacteria","Alphaproteobacteria",1,"Bacteria - Proteobacteria"
"Chromista","Ochrophyta","Phaeophyceae",215,"Chromista - Ochrophyta"
"Fungi","Ascomycota","Dothideomycetes",7,"Fungi - Ascomycota"
"Fungi","Ascomycota","Lecanoromycetes",601,"Fungi - Ascomycota"
"Fungi","Ascomycota","Leotiomycetes",23,"Fungi - Ascomycota"
"Fungi","Ascomycota","Neolectomycetes",1,"Fungi - Ascomycota"
"Fungi","Ascomycota","Pezizomycetes",2,"Fungi - Ascomycota"
"Fungi","Ascomycota","Sordariomycetes",8,"Fungi - Ascomycota"
"Fungi","Ascomycota","Taphrinomycetes",6,"Fungi - Ascomycota"
"Fungi","Basidiomycota","Agaricomycetes",871,"Fungi - Basidiomycota"
"Fungi","Basidiomycota","Dacrymycetes",12,"Fungi - Basidiomycota"
"Fungi","Basidiomycota","Exobasidiomycetes",1,"Fungi - Basidiomycota"
"Fungi","Basidiomycota","Pucciniomycetes",2,"Fungi - Basidiomycota"
"Fungi","Basidiomycota","Tremellomycetes",10,"Fungi - Basidiomycota"
"Fungi","Mucoromycota","Mucoromycetes",1,"Fungi - Mucoromycota"
"Plantae","Bryophyta","Bryopsida",131,"Plantae - Bryophyta"
"Plantae","Bryophyta","Polytrichopsida",29,"Plantae - Bryophyta"
"Plantae","Bryophyta","Sphagnopsida",10,"Plantae - Bryophyta"
"Plantae","Bryophyta","Tetraphidopsida",1,"Plantae - Bryophyta"
"Plantae","Chlorophyta","Ulvophyceae",53,"Plantae - Chlorophyta"
"Plantae","Marchantiophyta","Jungermanniopsida",15,"Plantae - Marchantiophyta"
"Plantae","Rhodophyta","Bangiophyceae",4,"Plantae - Rhodophyta"
"Plantae","Rhodophyta","Florideophyceae",96,"Plantae - Rhodophyta"
"Plantae","Tracheophyta","Liliopsida",1042,"Plantae - Tracheophyta"
"Plantae","Tracheophyta","Lycopodiopsida",28,"Plantae - Tracheophyta"
"Plantae","Tracheophyta","Magnoliopsida",12275,"Plantae - Tracheophyta"
"Plantae","Tracheophyta","Pinopsida",1446,"Plantae - Tracheophyta"
"Plantae","Tracheophyta","Polypodiopsida",1046,"Plantae - Tracheophyta"
"Protozoa","Mycetozoa","Ceratiomyxomycetes",1,"Protozoa - Mycetozoa"
"Protozoa","Mycetozoa","Myxomycetes",20,"Protozoa - Mycetozoa"
