parents,labels,num.obs,color.code,color.test
,Animalia,10821,#EF8636,#EF8636
,Bacteria,1,#F3B376,#F3B376
,Chromista,215,#83574D,#83574D
,Fungi,1545,#519E3E,#519E3E
,Plantae,16176,#3B75AF,#3B75AF
,Protozoa,21,#7F7F7F,#7F7F7F
Animalia,Annelida,7,#EF8636,#EF8636
Animalia,Arthropoda,5275,#EF8636,#EF8636
Animalia,Bryozoa,2,#EF8636,#EF8636
Animalia,Chordata,4719,#EF8636,#EF8636
Animalia,Cnidaria,48,#EF8636,#EF8636
Animalia,Ctenophora,1,#EF8636,#EF8636
Animalia,Echinodermata,98,#EF8636,#EF8636
Animalia,Mollusca,663,#EF8636,#EF8636
Animalia,Porifera,8,#EF8636,#EF8636
Bacteria,Proteobacteria,1,#F3B376,#F3B376
Chromista,Ochrophyta,215,#83574D,#83574D
Fungi,Ascomycota,648,#519E3E,#519E3E
Fungi,Basidiomycota,896,#519E3E,#519E3E
Fungi,Mucoromycota,1,#519E3E,#519E3E
Plantae,Bryophyta,171,#3B75AF,#3B75AF
Plantae,Chlorophyta,53,#3B75AF,#3B75AF
Plantae,Marchantiophyta,15,#3B75AF,#3B75AF
Plantae,Rhodophyta,100,#3B75AF,#3B75AF
Plantae,Tracheophyta,15837,#3B75AF,#3B75AF
Protozoa,Mycetozoa,21,#7F7F7F,#7F7F7F
Annelida,Clitellata,2,#85BB78,#EF8636
Annelida,Polychaeta,5,#85BB78,#EF8636
Arthropoda,Arachnida,302,#85BB78,#EF8636
Arthropoda,Entognatha,28,#85BB78,#EF8636
Arthropoda,Hexanauplia,89,#85BB78,#EF8636
Arthropoda,Insecta,4423,#85BB78,#EF8636
Arthropoda,Malacostraca,433,#85BB78,#EF8636
Bryozoa,Gymnolaemata,2,#85BB78,#EF8636
Chordata,Actinopterygii,78,#85BB78,#EF8636
Chordata,Amphibia,820,#85BB78,#EF8636
Chordata,Ascidiacea,3,#85BB78,#EF8636
Chordata,Aves,2619,#85BB78,#EF8636
Chordata,Mammalia,840,#85BB78,#EF8636
Chordata,Reptilia,359,#85BB78,#EF8636
Cnidaria,Anthozoa,43,#85BB78,#EF8636
Cnidaria,Hydrozoa,1,#85BB78,#EF8636
Cnidaria,Scyphozoa,4,#85BB78,#EF8636
Ctenophora,Tentaculata,1,#85BB78,#EF8636
Echinodermata,Asteroidea,28,#85BB78,#EF8636
Echinodermata,Echinoidea,67,#85BB78,#EF8636
Echinodermata,Holothuroidea,1,#85BB78,#EF8636
Echinodermata,Ophiuroidea,2,#85BB78,#EF8636
Mollusca,Bivalvia,142,#85BB78,#EF8636
Mollusca,Gastropoda,520,#85BB78,#EF8636
Mollusca,Polyplacophora,1,#85BB78,#EF8636
Porifera,Demospongiae,8,#85BB78,#EF8636
Proteobacteria,Alphaproteobacteria,1,#F7CDA5,#F3B376
Ochrophyta,Phaeophyceae,215,#A98982,#83574D
Ascomycota,Dothideomycetes,7,#F2AB73,#519E3E
Ascomycota,Lecanoromycetes,601,#F2AB73,#519E3E
Ascomycota,Leotiomycetes,23,#F2AB73,#519E3E
Ascomycota,Neolectomycetes,1,#F2AB73,#519E3E
Ascomycota,Pezizomycetes,2,#F2AB73,#519E3E
Ascomycota,Sordariomycetes,8,#F2AB73,#519E3E
Ascomycota,Taphrinomycetes,6,#F2AB73,#519E3E
Basidiomycota,Agaricomycetes,871,#F2AB73,#519E3E
Basidiomycota,Dacrymycetes,12,#F2AB73,#519E3E
Basidiomycota,Exobasidiomycetes,1,#F2AB73,#519E3E
Basidiomycota,Pucciniomycetes,2,#F2AB73,#519E3E
Basidiomycota,Tremellomycetes,10,#F2AB73,#519E3E
Mucoromycota,Mucoromycetes,1,#F2AB73,#519E3E
Bryophyta,Bryopsida,131,#769FC7,#3B75AF
Bryophyta,Polytrichopsida,29,#769FC7,#3B75AF
Bryophyta,Sphagnopsida,10,#769FC7,#3B75AF
Bryophyta,Tetraphidopsida,1,#769FC7,#3B75AF
Chlorophyta,Ulvophyceae,53,#769FC7,#3B75AF
Marchantiophyta,Jungermanniopsida,15,#769FC7,#3B75AF
Rhodophyta,Bangiophyceae,4,#769FC7,#3B75AF
Rhodophyta,Florideophyceae,96,#769FC7,#3B75AF
Tracheophyta,Liliopsida,1042,#769FC7,#3B75AF
Tracheophyta,Lycopodiopsida,28,#769FC7,#3B75AF
Tracheophyta,Magnoliopsida,12275,#769FC7,#3B75AF
Tracheophyta,Pinopsida,1446,#769FC7,#3B75AF
Tracheophyta,Polypodiopsida,1046,#769FC7,#3B75AF
Mycetozoa,Ceratiomyxomycetes,1,#A6A6A6,#7F7F7F
Mycetozoa,Myxomycetes,20,#A6A6A6,#7F7F7F
