"common.name","scientific.name","frequency"
"Herring Gull","Larus argentatus",49.95
"American Crow","Corvus brachyrhynchos",43
"Black-capped Chickadee","Poecile atricapillus",35.92
"Common Eider","Somateria mollissima",30.02
"Black-throated Green Warbler","Setophaga virens",27.87
"Double-crested Cormorant","Nannopterum auritum",27.37
"Red-breasted Nuthatch","Sitta canadensis",24.59
"Song Sparrow","Melospiza melodia",23.94
"Great Black-backed Gull","Larus marinus",23.35
"Black Guillemot","Cepphus grylle",23.1
"Common Loon","Gavia immer",22.96
"Dark-eyed Junco","Junco hyemalis",22.62
"Golden-crowned Kinglet","Regulus satrapa",22.45
"American Robin","Turdus migratorius",21.88
"Yellow-rumped Warbler","Setophaga coronata",21.34
"American Goldfinch","Spinus tristis",20.39
"Northern Parula","Setophaga americana",18.63
"Blue Jay","Cyanocitta cristata",18.31
"Common Yellowthroat","Geothlypis trichas",17.72
"Hermit Thrush","Catharus guttatus",17.46
"Red-eyed Vireo","Vireo olivaceus",15.47
"Downy Woodpecker","Dryobates pubescens",13.74
"Black-and-white Warbler","Mniotilta varia",13.05
"Cedar Waxwing","Bombycilla cedrorum",13.02
"Common Raven","Corvus corax",12.58
"White-throated Sparrow","Zonotrichia albicollis",12.53
"Turkey Vulture","Cathartes aura",12.19
"Bald Eagle","Haliaeetus leucocephalus",11.75
"American Redstart","Setophaga ruticilla",11.44
"Ring-billed Gull","Larus delawarensis",11.18
"Mourning Dove","Zenaida macroura",10.8
"Winter Wren","Troglodytes hiemalis",10.28
"Ovenbird","Seiurus aurocapilla",9.85
"American Black Duck","Anas rubripes",9.77
"Mallard","Anas platyrhynchos",9.69
"Blue-headed Vireo","Vireo solitarius",9.58
"Black Scoter","Melanitta americana",9.44
"Northern Flicker","Colaptes auratus",9.19
"Hairy Woodpecker","Dryobates villosus",8.93
"Purple Finch","Haemorhous purpureus",8.34
"Brown Creeper","Certhia americana",7.9
"Gray Catbird","Dumetella carolinensis",7.76
"Laughing Gull","Leucophaeus atricilla",7.43
"Red-breasted Merganser","Mergus serrator",7.41
"Magnolia Warbler","Setophaga magnolia",7.22
"Eastern Phoebe","Sayornis phoebe",6.99
"Chipping Sparrow","Spizella passerina",6.65
"Great Cormorant","Phalacrocorax carbo",6.61
"Blackburnian Warbler","Setophaga fusca",6.36
"Osprey","Pandion haliaetus",6.17
"Pileated Woodpecker","Dryocopus pileatus",6.16
"Long-tailed Duck","Clangula hyemalis",6.15
"Great Blue Heron","Ardea herodias",6.12
"Bufflehead","Bucephala albeola",5.63
"Red-necked Grebe","Podiceps grisegena",5.6
"Canada Goose","Branta canadensis",5.42
"Alder Flycatcher","Empidonax alnorum",5.37
"Yellow Warbler","Setophaga petechia",5.29
"Swamp Sparrow","Melospiza georgiana",5.06
"Northern Gannet","Morus bassanus",4.66
"Swainson's Thrush","Catharus ustulatus",4.55
"Red-winged Blackbird","Agelaius phoeniceus",4.48
"Eastern Wood-Pewee","Contopus virens",4.21
"White-winged Scoter","Melanitta deglandi",3.95
"Peregrine Falcon","Falco peregrinus",3.9
"Red Crossbill","Loxia curvirostra",3.78
"Belted Kingfisher","Megaceryle alcyon",3.52
"Surf Scoter","Melanitta perspicillata",3.32
"Ruby-throated Hummingbird","Archilochus colubris",3.2
"White-breasted Nuthatch","Sitta carolinensis",3.19
"Barred Owl","Strix varia",3.1
"Pine Warbler","Setophaga pinus",3.1
"Nashville Warbler","Leiothlypis ruficapilla",2.99
"Horned Grebe","Podiceps auritus",2.96
"Common Grackle","Quiscalus quiscula",2.74
"Common Goldeneye","Bucephala clangula",2.73
"Chestnut-sided Warbler","Setophaga pensylvanica",2.66
"Ruby-crowned Kinglet","Corthylio calendula",2.66
"Broad-winged Hawk","Buteo platypterus",2.62
"Pine Siskin","Spinus pinus",2.46
"Wild Turkey","Meleagris gallopavo",2.41
"Merlin","Falco columbarius",2.3
"Great Crested Flycatcher","Myiarchus crinitus",2.27
"Common Merganser","Mergus merganser",2.19
"Red-throated Loon","Gavia stellata",2.1
"Common Tern","Sterna hirundo",2.07
"Northern Cardinal","Cardinalis cardinalis",2.02
"gull sp.","Larinae sp.",1.98
"Wood Duck","Aix sponsa",1.96
"Palm Warbler","Setophaga palmarum",1.92
"Greater Yellowlegs","Tringa melanoleuca",1.9
"Eastern Towhee","Pipilo erythrophthalmus",1.89
"Sharp-shinned Hawk","Accipiter striatus",1.84
"Black-throated Blue Warbler","Setophaga caerulescens",1.83
"Spotted Sandpiper","Actitis macularius",1.77
"White-winged Crossbill","Loxia leucoptera",1.71
"Least Flycatcher","Empidonax minimus",1.67
"Harlequin Duck","Histrionicus histrionicus",1.6
"Purple Sandpiper","Calidris maritima",1.6
"European Starling","Sturnus vulgaris",1.59
"Wood Thrush","Hylocichla mustelina",1.59
"Ruffed Grouse","Bonasa umbellus",1.54
"duck sp.","Anatidae (duck sp.)",1.34
"Blackpoll Warbler","Setophaga striata",1.33
"Scarlet Tanager","Piranga olivacea",1.33
"Black-legged Kittiwake","Rissa tridactyla",1.28
"Bonaparte's Gull","Chroicocephalus philadelphia",1.24
"Northern Harrier","Circus hudsonius",1.24
"scoter sp.","Melanitta sp.",1.24
"Savannah Sparrow","Passerculus sandwichensis",1.23
"Razorbill","Alca torda",1.22
"Tree Swallow","Tachycineta bicolor",1.17
"Rock Pigeon","Columba livia",1.16
"Barn Swallow","Hirundo rustica",1.11
"Hooded Merganser","Lophodytes cucullatus",1.02
"Semipalmated Plover","Charadrius semipalmatus",1
"American Kestrel","Falco sparverius",0.99
"Yellow-bellied Flycatcher","Empidonax flaviventris",0.94
"Yellow-bellied Sapsucker","Sphyrapicus varius",0.94
"Cooper's Hawk","Accipiter cooperii",0.91
"Red-tailed Hawk","Buteo jamaicensis",0.9
"new world warbler sp.","Parulidae sp.",0.89
"Least Sandpiper","Calidris minutilla",0.77
"Rose-breasted Grosbeak","Pheucticus ludovicianus",0.76
"Eastern Kingbird","Tyrannus tyrannus",0.75
"Canada Warbler","Cardellina canadensis",0.71
"Tufted Titmouse","Baeolophus bicolor",0.71
"Veery","Catharus fuscescens",0.71
"passerine sp.","Passeriformes sp.",0.7
"Common Nighthawk","Chordeiles minor",0.69
"House Sparrow","Passer domesticus",0.67
"Bay-breasted Warbler","Setophaga castanea",0.65
"Semipalmated Sandpiper","Calidris pusilla",0.65
"Snow Bunting","Plectrophenax nivalis",0.65
"Tennessee Warbler","Leiothlypis peregrina",0.58
"American Pipit","Anthus rubescens",0.55
"Cape May Warbler","Setophaga tigrina",0.54
"White-crowned Sparrow","Zonotrichia leucophrys",0.54
"American Woodcock","Scolopax minor",0.53
"American Bittern","Botaurus lentiginosus",0.5
