"scientific.name","count","category"
"Rosa rugosa",580,"pest/invasive"
"Frangula alnus",140,"pest/invasive"
"Lotus corniculatus",128,"pest/invasive"
"Solanum dulcamara",122,"pest/invasive"
"Securigera varia",106,"pest/invasive"
"Lupinus polyphyllus",95,"pest/invasive"
"Euproctis chrysorrhoea",39,"pest/invasive"
"Verbascum thapsus",29,"pest/invasive"
"Tussilago farfara",27,"pest/invasive"
"Epipactis helleborine",25,"pest/invasive"
"Calluna vulgaris",22,"pest/invasive"
"Trifolium hybridum",12,"pest/invasive"
"Cirsium vulgare",11,"pest/invasive"
"Cirsium arvense",10,"pest/invasive"
"Acer platanoides",9,"pest/invasive"
"Celastrus orbiculatus",8,"pest/invasive"
"Berberis thunbergii",7,"pest/invasive"
"Galeopsis bifida",5,"pest/invasive"
"Lythrum salicaria",4,"pest/invasive"
"Genista tinctoria",3,"pest/invasive"
"Rosa multiflora",3,"pest/invasive"
"Achillea ptarmica",2,"pest/invasive"
"Adelges tsugae",2,"pest/invasive"
"Cardamine impatiens",2,"pest/invasive"
"Hypericum prolificum",2,"pest/invasive"
"Populus alba",2,"pest/invasive"
"Spergularia rubra",2,"pest/invasive"
"Alliaria petiolata",1,"pest/invasive"
"Centaurea stoebe",1,"pest/invasive"
"Digitalis purpurea",1,"pest/invasive"
"Euphorbia cyparissias",1,"pest/invasive"
"Jacobaea vulgaris",1,"pest/invasive"
"Litylenchus crenatae",1,"pest/invasive"
"Lonicera periclymenum",1,"pest/invasive"
"Phellodendron amurense",1,"pest/invasive"
"Phragmites australis",1,"pest/invasive"
"Potentilla recta",1,"pest/invasive"
"Reynoutria japonica",1,"pest/invasive"
"Rhamnus cathartica",1,"pest/invasive"
"Typha angustifolia",1,"pest/invasive"
"Falco peregrinus",2120,"threatened/endangered"
"Histrionicus histrionicus",872,"threatened/endangered"
"Alca torda",663,"threatened/endangered"
"Fratercula arctica",165,"threatened/endangered"
"Sterna paradisaea",60,"threatened/endangered"
"Bucephala islandica",48,"threatened/endangered"
"Nycticorax nycticorax",32,"threatened/endangered"
"Calidris canutus",11,"threatened/endangered"
"Chlidonias niger",9,"threatened/endangered"
"Asio flammeus",6,"threatened/endangered"
"Bartramia longicauda",6,"threatened/endangered"
"Aquila chrysaetos",2,"threatened/endangered"
"Myotis lucifugus",2,"threatened/endangered"
"Sterna dougallii",2,"threatened/endangered"
"Cistothorus stellaris",1,"threatened/endangered"
"Myotis leibii",1,"threatened/endangered"
"Danaus plexippus",177,"rare native"
"Cypripedium acaule",98,"rare native"
"Rhodiola rosea",97,"rare native"
"Symplocarpus foetidus",92,"rare native"
"Asclepias syriaca",79,"rare native"
"Epigaea repens",71,"rare native"
"Monotropa hypopitys",49,"rare native"
"Lilium philadelphicum",38,"rare native"
"Medeola virginiana",32,"rare native"
"Rhexia virginica",27,"rare native"
"Lysimachia maritima",23,"rare native"
"Toxicodendron radicans",22,"rare native"
"Arisaema triphyllum",20,"rare native"
"Corema conradii",20,"rare native"
"Euthamia graminifolia",17,"rare native"
"Verbena hastata",17,"rare native"
"Trillium undulatum",16,"rare native"
"Bombus terricola",14,"rare native"
"Lonicera canadensis",14,"rare native"
"Pinus resinosa",14,"rare native"
"Capnoides sempervirens",12,"rare native"
"Chelone glabra",12,"rare native"
"Platanthera clavellata",11,"rare native"
"Dasiphora fruticosa",10,"rare native"
"Solidago flexicaulis",10,"rare native"
"Maianthemum racemosum",8,"rare native"
"Trichophorum cespitosum",7,"rare native"
"Teucrium canadense",6,"rare native"
"Typha latifolia",6,"rare native"
"Caltha palustris",5,"rare native"
"Mertensia maritima",5,"rare native"
"Spinulum annotinum",5,"rare native"
"Uvularia sessilifolia",5,"rare native"
"Epilobium ciliatum",4,"rare native"
"Polygonatum pubescens",4,"rare native"
"Toxicodendron rydbergii",4,"rare native"
"Actaea pachypoda",3,"rare native"
"Andropogon gerardi",3,"rare native"
"Asplenium trichomanes",3,"rare native"
"Bartonia virginica",3,"rare native"
"Goodyera pubescens",3,"rare native"
"Huperzia appressa",3,"rare native"
"Polygala sanguinea",3,"rare native"
"Polypodium appalachianum",3,"rare native"
"Rubus dalibarda",3,"rare native"
"Spergularia marina",3,"rare native"
"Viburnum dentatum",3,"rare native"
"Agalinis purpurea",2,"rare native"
"Cornus rugosa",2,"rare native"
"Taxus canadensis",2,"rare native"
"Actaea rubra",1,"rare native"
"Amphicarpaea bracteata",1,"rare native"
"Carex wiegandii",1,"rare native"
"Cicuta maculata",1,"rare native"
"Cuscuta gronovii",1,"rare native"
"Epilobium coloratum",1,"rare native"
"Eutrochium maculatum",1,"rare native"
"Lycopodiella inundata",1,"rare native"
"Rubus chamaemorus",1,"rare native"
"Spergularia canadensis",1,"rare native"
"Trillium cernuum",1,"rare native"
"Viburnum recognitum",1,"rare native"
"Woodsia ilvensis",1,"rare native"
"Xyris difformis",1,"rare native"
