"scientific.name","count","category"
"Acer platanoides",1,"pest/invasive"
"Solanum dulcamara",1,"pest/invasive"
"Tussilago farfara",1,"pest/invasive"
"Falco peregrinus",2,"threatened/endangered"
"Ixobrychus exilis",1,"threatened/endangered"
"Cypripedium acaule",17,"rare native"
"Trillium undulatum",15,"rare native"
"Medeola virginiana",9,"rare native"
"Eutrochium maculatum",7,"rare native"
"Rubus dalibarda",5,"rare native"
"Chelone glabra",4,"rare native"
"Diphasiastrum digitatum",4,"rare native"
"Asclepias syriaca",3,"rare native"
"Epipactis helleborine",3,"rare native"
"Euthamia graminifolia",3,"rare native"
"Lonicera canadensis",3,"rare native"
"Spinulum annotinum",3,"rare native"
"Actaea rubra",2,"rare native"
"Capnoides sempervirens",2,"rare native"
"Euphorbia cyparissias",2,"rare native"
"Maianthemum racemosum",2,"rare native"
"Uvularia sessilifolia",2,"rare native"
"Actaea pachypoda",1,"rare native"
"Epigaea repens",1,"rare native"
"Lycopodiella inundata",1,"rare native"
"Pinus resinosa",1,"rare native"
"Polygonatum pubescens",1,"rare native"
"Taxus canadensis",1,"rare native"
"Typha latifolia",1,"rare native"
"Verbena hastata",1,"rare native"
