"common.name","scientific.name","observed.on","place.guess","latitude","longitude","cat"
"bittersweet nightshade","Solanum dulcamara","2022-11-24","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.319225,-68.1895966667,"All observations"
"common reed","Phragmites australis","2022-11-22","Acadia National Park, Bar Harbor, ME, US",44.3655466667,-68.2046883333,"All observations"
"rugosa rose","Rosa rugosa","2022-10-24","Sand Beach, Acadia National Park, Bar Harbor, ME, USA",44.3291522904,-68.1827187542,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-10-23","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.3005981445,-68.3170700073,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-10-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3629825159,-68.2090647341,"All observations"
"glossy buckthorn","Frangula alnus","2022-10-21","Jesup Path, Bar Harbor, ME 04609, USA",44.3697533,-68.2119138,"All observations"
"glossy buckthorn","Frangula alnus","2022-10-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3629833333,-68.20845,"All observations"
"rugosa rose","Rosa rugosa","2022-10-20","Winter Harbor, ME 04693, USA",44.338394,-68.0455199722,"All observations"
"rugosa rose","Rosa rugosa","2022-10-17","Bar Harbor, ME, USA",44.3291722222,-68.1803666667,"All observations"
"rugosa rose","Rosa rugosa","2022-10-15","Southwest Harbor, ME 04679, USA",44.2419472222,-68.2998416667,"All observations"
"rugosa rose","Rosa rugosa","2022-10-12","Bar Harbor, ME, USA",44.3207666667,-68.1887166667,"All observations"
"rugosa rose","Rosa rugosa","2022-10-12","Bar Harbor, ME, USA",44.3109183333,-68.189145,"All observations"
"rugosa rose","Rosa rugosa","2022-10-06","Acadia National Park, Hancock County, US-ME, US",44.3652038574,-68.0765533447,"All observations"
"rugosa rose","Rosa rugosa","2022-10-04","Acadia National Park, Birch Harbor, ME, US",44.3386616667,-68.0454778333,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-10-02","Bar Harbor, ME, USA",44.3290695668,-68.1802718744,"All observations"
"rugosa rose","Rosa rugosa","2022-10-01","Acadia National Park, Bar Harbor, ME, US",44.3599690218,-68.1880980079,"All observations"
"rugosa rose","Rosa rugosa","2022-09-29","Nicatous Lake, Acadia National Park, Hancock, Maine, United States",44.2421791667,-68.2997241667,"All observations"
"colt's-foot","Tussilago farfara","2022-09-28","Bar Harbor, ME 04609, USA",44.3479489722,-68.251271,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-26","Acadia National Park, Mount Desert, ME, US",44.2974883333,-68.215155,"All observations"
"rugosa rose","Rosa rugosa","2022-09-26","Southwest Harbor, ME 04679, USA",44.2281929722,-68.311081,"All observations"
"rugosa rose","Rosa rugosa","2022-09-23","Mount Desert Island, Southwest Harbor, ME, US",44.22202,-68.3375083333,"All observations"
"rugosa rose","Rosa rugosa","2022-09-17","Acadia National Park, Southwest Harbor, ME, US",44.2284466667,-68.310945,"All observations"
"glossy buckthorn","Frangula alnus","2022-09-17","Bar Harbor, ME, USA",44.3077619,-68.1931734,"All observations"
"rugosa rose","Rosa rugosa","2022-09-15","Bar Harbor, ME 04609, USA",44.32080311,-68.18869993,"All observations"
"rugosa rose","Rosa rugosa","2022-09-15","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.22936962,-68.31255653,"All observations"
"rugosa rose","Rosa rugosa","2022-09-15","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.22931737,-68.31259389,"All observations"
"rugosa rose","Rosa rugosa","2022-09-12","Southwest Harbor",44.2284812927,-68.3112487793,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-11","Acadia National Park, Bar Harbor, ME, US",44.3159,-68.1907366667,"All observations"
"rugosa rose","Rosa rugosa","2022-09-11","Acadia National Park, Bar Harbor, ME, US",44.3132633333,-68.1909466667,"All observations"
"rugosa rose","Rosa rugosa","2022-09-11","Nicatous Lake, Acadia National Park, Hancock County, US-ME, US",44.22583661,-68.31795073,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-03","Acadia National Park, Birch Harbor, ME, US",44.3329263619,-68.0604375154,"All observations"
"bittersweet nightshade","Solanum dulcamara","2022-09-01","Acadia National Park, Birch Harbor, ME, US",44.332375,-68.059775,"All observations"
"rugosa rose","Rosa rugosa","2022-08-28","Acadia National Park, Southwest Harbor, ME, US",44.2291416667,-68.3124916667,"All observations"
"rugosa rose","Rosa rugosa","2022-08-27","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3209053297,-68.1887606811,"All observations"
"rugosa rose","Rosa rugosa","2022-08-27","Acadia National Park, Southwest Harbor, ME, US",44.2294416667,-68.312905,"All observations"
