"year","park","observers","observations","visits","observers.vis","observations.vis"
2020,"ACAD",1043,40636,2669034,0.000390778086753485,0.0152249840204359
2021,"ACAD",2661,75142,4069098,0.000653953283995618,0.0184665004381806
2022,"ACAD",2853,85142,3970260,0.000718592736999592,0.0214449431523376
2023,"ACAD",2879,95955,3879890,0.000742031346249507,0.0247313712502159
2024,"ACAD",3126,97245,3961661,0.000789062971314305,0.0245465222794176
2020,"KAWW",50,1477,41432,0.00120679667889554,0.0356487738945742
2021,"KAWW",105,2664,39485,0.00265923768519691,0.0674686589844245
2022,"KAWW",89,5015,43231,0.00205870787166617,0.11600471883602
2023,"KAWW",55,1301,38455,0.00143024314133403,0.0338317513977376
2024,"KAWW",101,3571,35173,0.0028715207687715,0.101526739260228
