"common.name","scientific.name","observed.on","place.guess","latitude","longitude","cat"
"common heather","Calluna vulgaris","2022-11-12","Acadia National Park, Mount Desert, ME, US",44.319425,-68.316995,"All observations"
"trailing arbutus","Epigaea repens","2022-11-05","Acadia National Park, Bar Harbor, ME, US",44.3500166667,-68.1907666667,"All observations"
"maidenhair spleenwort","Asplenium trichomanes","2022-11-03","Acadia National Park, Bar Harbor, ME, US",44.3544782164,-68.2089631302,"All observations"
"red pine","Pinus resinosa","2022-10-30","Acadia National Park, Mount Desert, ME, US",44.3233716667,-68.2711466667,"All observations"
"rusty woodsia","Woodsia ilvensis","2022-10-23","Hancock County, US-ME, US",44.3063840755,-68.2075497197,"All observations"
"Cinnamon Willow-herb","Epilobium coloratum","2022-10-21","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3628283333,-68.2089783333,"All observations"
"pink lady's slipper","Cypripedium acaule","2022-10-12","Mt Desert, ME 04660, USA",44.3177829722,-68.21644,"All observations"
"Broad-leafed Helleborine","Epipactis helleborine","2022-10-12","Acadia National Park, Bar Harbor, ME, US",44.4090783333,-68.25377,"All observations"
"Monarch","Danaus plexippus","2022-10-12","Bar Harbor, ME, USA",44.3165583333,-68.1980516667,"All observations"
"trailing arbutus","Epigaea repens","2022-10-07","Bar Harbor, ME, USA",44.3761974628,-68.2510827565,"All observations"
"purple crownvetch","Securigera varia","2022-10-06","Acadia National Park, Bar Harbor, ME, US",44.3263283333,-68.1863333333,"All observations"
"eastern poison ivy","Toxicodendron radicans","2022-10-05","Bar Harbor, ME, USA",44.314520813,-68.1905846713,"All observations"
"Monarch","Danaus plexippus","2022-10-04","Acadia National Park, Birch Harbor, ME, US",44.3405907322,-68.0603686162,"All observations"
"Monarch","Danaus plexippus","2022-10-04","Acadia National Park, Birch Harbor, ME, US",44.3395283333,-68.0451361667,"All observations"
"Monarch","Danaus plexippus","2022-10-03","Acadia National Park, Bar Harbor, ME, US",44.325625,-68.1867833333,"All observations"
"eastern poison ivy","Toxicodendron radicans","2022-10-01","Bar Harbor, ME, USA",44.3235794317,-68.1867053217,"All observations"
