"","scientific.name","common.name","count"
"1","Aralia nudicaulis","wild sarsaparilla",1
"2","Arctostaphylos uva-ursi","bearberry",1
"3","Comptonia peregrina","sweetfern",1
"4","Danaus plexippus","monarch",1
"5","Doellingeria umbellata","flat-top white aster",1
"6","Dryopteris cristata","crested wood fern",1
"7","Empetrum nigrum","black crowberry",1
"8","Eurybia macrophylla","large-leaved aster",1
"9","Fomes excavatus","",1
"10","Fomitopsis betulina","birch polypore",1
"11","Impatiens capensis","common jewelweed",1
"12","Juniperus communis","common juniper",1
"13","Lophocampa caryae","hickory tussock moth",1
"14","Lysimachia maritima","sea milkwort",1
"15","Maianthemum canadense","canada mayflower",1
"16","Mitchella repens","partridgeberry",1
"17","Mniotilta varia","black-and-white warbler",1
"18","Morella pensylvanica","northern bayberry",1
"19","Notophthalmus viridescens","eastern newt",1
"20","Oclemena acuminata","whorled wood aster",1
"21","Oclemena nemoralis","bog aster",1
"22","Odocoileus virginianus","white-tailed deer",1
"23","Osmunda claytoniana","interrupted fern",1
"24","Osmundastrum cinnamomeum","cinnamon fern",1
"25","Parmelia sulcata","shield lichen",1
"26","Phidippus purpuratus","marbled purple jumping spider",1
"27","Pilosella aurantiaca","orange hawkweed",1
"28","Pinus strobus","eastern white pine",1
"29","Plantago maritima","sea plantain",1
"30","Polypodium appalachianum","appalachian rockcap fern",1
"31","Pteridium aquilinum","common bracken",1
"32","Rhus typhina","staghorn sumac",1
"33","Rosa rugosa","rugosa rose",1
"34","Saperda candida","round-headed apple tree borer",1
"35","Sibbaldiopsis tridentata","three-toothed cinquefoil",1
"36","Sitta canadensis","red-breasted nuthatch",1
"37","Solanum dulcamara","bittersweet nightshade",1
"38","Solidago bicolor","silverrod",1
"39","Solidago puberula","downy goldenrod",1
"40","Spiraea alba","white meadowsweet",1
"41","Symphyotrichum lateriflorum","calico aster",1
"42","Tamias striatus","eastern chipmunk",1
"43","Tamiasciurus hudsonicus","american red squirrel",1
"44","Thuja occidentalis","northern whitecedar",1
"45","Tsuga canadensis","eastern hemlock",1
"46","Vanessa virginiensis","american lady",1
"47","Viburnum cassinoides","northern wild raisin",1
