"scientific.name","common.name","observed.on","location","latitude","longitude","listing.status"
"Sterna dougallii","Roseate Tern","2016-05-31","Cranberry Isles, ME, USA",44.2424947532,-68.1942682095,"federally endangered"
"Calidris canutus","Red Knot",NA,NA,44.3385984,-68.2733291,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.2533766,-68.3407102,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3985285,-68.2063437,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3385984,-68.2733291,"federally threatened"
"Sterna dougallii","Roseate Tern",NA,NA,44.3324746,-68.0603456,"federally endangered"
"Calidris canutus","Red Knot",NA,NA,44.3072668,-68.1901217,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3385984,-68.2733291,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3289251,-68.1741893,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3385984,-68.2733291,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3292206,-68.1822252,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3292206,-68.1822252,"federally threatened"
"Calidris canutus","Red Knot",NA,NA,44.3360968,-68.0511618,"federally threatened"
"Histrionicus histrionicus","Harlequin Duck","2017-11-07","Schoodic Point, Winter Harbor, ME 04693, USA",44.3323493,-68.0610361,"state threatened"
"Fratercula arctica","Atlantic Puffin","2018-08-07","Maine, US",44.341333379,-68.1832120802,"state threatened"
"Histrionicus histrionicus","Harlequin Duck","2020-01-02","Acadia National Park Schoodic",44.332207,-68.061551,"state threatened"
"Myotis leibii","Eastern Small-footed Myotis","2015-10-11","Hancock County, US-ME, US",44.3187627505,-68.2197354543,"state threatened"
"Fratercula arctica","Atlantic Puffin","2021-06-09","Hancock County, US-ME, US",44.3371071376,-68.3013512851,"state threatened"
"Fratercula arctica","Atlantic Puffin","2021-06-09","Hancock County, US-ME, US",44.3564128528,-68.2004033721,"state threatened"
"Falco peregrinus","Peregrine Falcon","2021-06-06","Acadia National Park, Bar Harbor, ME, US",44.3494633333,-68.1878966667,"state endangered"
"Falco peregrinus","Peregrine Falcon","2012-07-28","Southwest Harbor, ME, USA",44.2298817436,-68.3158156248,"state endangered"
"Falco peregrinus","Peregrine Falcon","2021-08-31","Bar Harbor, ME 04609, USA",44.3528712864,-68.2088763267,"state endangered"
"Histrionicus histrionicus","Harlequin Duck","2022-03-18","Schoodic Point, Winter Harbor, ME 04693, USA",44.3323493,-68.0610361,"state threatened"
"Fratercula arctica","Atlantic Puffin","2022-05-14","Hancock County, US-ME, US",44.3210821742,-68.3931055362,"state threatened"
"Alca torda","Razorbill","2022-05-14","Hancock County, US-ME, US",44.3408539183,-68.2204801464,"state threatened"
"Falco peregrinus","Peregrine Falcon","2022-07-05","Bar Harbor, ME, USA",44.3510737124,-68.1939550309,"state endangered"
"Falco peregrinus","Peregrine Falcon","2022-07-04","Acadia National Park, Mount Desert, ME, US",44.3687982077,-68.293028686,"state endangered"
"Falco peregrinus","Peregrine Falcon","2022-07-24","Southwest Harbor, ME, USA",44.3061062506,-68.3154227831,"state endangered"
"Fratercula arctica","Atlantic Puffin","2019-08-06","Maine, US",44.3074601727,-68.3728198338,"state threatened"
"Histrionicus histrionicus","Harlequin Duck","2022-12-15","Bar Harbor, ME 04609, USA",44.3547716628,-68.19093436,"state threatened"
"Nycticorax nycticorax","Black-crowned Night-Heron",NA,NA,44.3158344,-68.1976211,"state endangered"
"Sterna paradisaea","Arctic Tern",NA,NA,44.3385984,-68.2733291,"state threatened"
"Sterna paradisaea","Arctic Tern",NA,NA,44.3385984,-68.2733291,"state threatened"
"Falco peregrinus","Peregrine Falcon",NA,NA,44.3385984,-68.2733291,"state endangered"
"Sterna paradisaea","Arctic Tern",NA,NA,44.3324746,-68.0603456,"state threatened"
"Sterna paradisaea","Arctic Tern",NA,NA,44.3385984,-68.2733291,"state threatened"
"Sterna paradisaea","Arctic Tern",NA,NA,44.3403019,-68.0582428,"state threatened"
"Sterna paradisaea","Arctic Tern",NA,NA,44.2389369,-68.310071,"state threatened"
"Sterna paradisaea","Arctic Tern",NA,NA,44.2373,-68.3025,"state threatened"
"Nycticorax nycticorax","Black-crowned Night-Heron",NA,NA,44.3414301,-68.2250984,"state endangered"
