"common.name","scientific.name","observed.on","place.guess","latitude","longitude","positional.accuracy","url","cat"
"common heather","Calluna vulgaris","2023-12-01","Acadia National Park, Mount Desert, ME, US",44.3145207668,-68.2942832959,5539,"https://www.inaturalist.org/observations/192762396","All observations"
"colt's-foot","Tussilago farfara","2023-11-23","Mount Desert Island, Bar Harbor, ME, US",44.32943,-68.1831133333,1108,"https://www.inaturalist.org/observations/191883633","All observations"
"rugosa rose","Rosa rugosa","2023-11-03","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3249611111,-68.1865944444,NA,"https://www.inaturalist.org/observations/189874854","All observations"
"rugosa rose","Rosa rugosa","2023-10-27","Mount Desert Island, Bar Harbor, ME, US",44.3171732035,-68.19991339,9,"https://www.inaturalist.org/observations/189111567","All observations"
"Japanese barberry","Berberis thunbergii","2023-10-27","Acadia National Park, Hancock County, US-ME, US",44.3754333333,-68.2069277778,NA,"https://www.inaturalist.org/observations/189113442","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Acadia National Park, Bar Harbor, ME, US",44.3635943206,-68.2093871199,4,"https://www.inaturalist.org/observations/188150432","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3681548723,-68.2113638241,3,"https://www.inaturalist.org/observations/188152707","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3635680492,-68.2093987453,4,"https://www.inaturalist.org/observations/188260487","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3635741279,-68.209400246,4,"https://www.inaturalist.org/observations/188260584","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3652772811,-68.2104920224,3,"https://www.inaturalist.org/observations/188261290","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3661172251,-68.2107266488,4,"https://www.inaturalist.org/observations/188261459","All observations"
"glossy buckthorn","Frangula alnus","2023-10-19","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3709806633,-68.2120851707,174,"https://www.inaturalist.org/observations/188283234","All observations"
