"scientific.name","common.name","observed.on","location","latitude","longitude","positional.accuracy","url"
"Corema conradii","broom crowberry","2023-12-30","Acadia National Park, Southwest Harbor, ME, US",44.226845,-68.3194283333,32,"https://www.inaturalist.org/observations/195301690"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-12-30","Mount Desert Island, Southwest Harbor, ME, US",44.2271383333,-68.3210666667,26,"https://www.inaturalist.org/observations/195303077"
"Corema conradii","broom crowberry","2023-12-15","Winter Harbor, ME 04693, USA",44.3696247,-68.0509846,NA,"https://www.inaturalist.org/observations/194052963"
"Epigaea repens","trailing arbutus","2023-11-24","Acadia National Park, Bar Harbor, ME, US",44.3857383333,-68.2537133333,3,"https://www.inaturalist.org/observations/191965941"
"Corema conradii","broom crowberry","2023-10-30","Skillings River, Bar Harbor, ME, US",44.3720618961,-68.0581105293,6,"https://www.inaturalist.org/observations/189693878"
"Danaus plexippus","Monarch","2023-10-26","Bar Harbor",44.3370666504,-68.0619430542,35,"https://www.inaturalist.org/observations/190083679"
"Epigaea repens","trailing arbutus","2023-10-18","Acadia National Park, Mount Desert, ME, US",44.3250466667,-68.2909,3,"https://www.inaturalist.org/observations/188087022"
"Epigaea repens","trailing arbutus","2023-10-18","Acadia National Park, Mount Desert, ME, US",44.3158616667,-68.34063,4,"https://www.inaturalist.org/observations/188087997"
"Polypodium appalachianum","Appalachian rockcap fern","2023-10-18","Acadia National Park, Mount Desert, ME, US",44.3365783333,-68.2844166667,55,"https://www.inaturalist.org/observations/188088151"
"Huperzia appressa","mountain firmoss","2023-10-18","Hancock County, US-ME, US",44.3816860398,-68.244422186,3,"https://www.inaturalist.org/observations/188088170"
"Epigaea repens","trailing arbutus","2023-10-10","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3993409449,-68.236034877,5,"https://www.inaturalist.org/observations/187000581"
"Pinus resinosa","red pine","2023-10-10","Mt Desert, ME 04660, USA",44.33187,-68.3941789722,NA,"https://www.inaturalist.org/observations/187058203"
"Corema conradii","broom crowberry","2023-10-10","Mt Desert, ME 04660, USA",44.3318909722,-68.3945889722,NA,"https://www.inaturalist.org/observations/187059165"
"Symplocarpus foetidus","Eastern Skunk Cabbage","2023-10-07","Acadia National Park, Southwest Harbor, ME, US",44.2329833333,-68.3192833333,4,"https://www.inaturalist.org/observations/187282101"
"Corema conradii","broom crowberry","2023-10-07","Acadia National Park, Southwest Harbor, ME, US",44.2315716667,-68.3151866667,4,"https://www.inaturalist.org/observations/187282114"
"Cypripedium acaule","pink lady's slipper","2023-10-05","Bar Harbor, ME, USA",44.3445964337,-68.2162884565,122,"https://www.inaturalist.org/observations/188140597"
"Epigaea repens","trailing arbutus","2023-10-04","Acadia National Park, Hancock County, US-ME, US",44.3100585938,-68.3276367188,15832,"https://www.inaturalist.org/observations/186178188"
"Danaus plexippus","Monarch","2023-10-02","Winter Harbor, ME 04693, USA",44.3323484755,-68.0610363185,1556,"https://www.inaturalist.org/observations/185965679"
"Danaus plexippus","Monarch","2023-09-28","Mount Desert Island, Bar Harbor, ME, US",44.3076083333,-68.1935116667,4,"https://www.inaturalist.org/observations/185358835"
"Typha latifolia","broad-leaved cattail","2023-09-25","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.3682584578,-68.2112466218,4,"https://www.inaturalist.org/observations/184925254"
"Chelone glabra","white turtlehead","2023-09-24","Cochrane Point, Acadia National Park, Hancock County, US-ME, US",44.362121582,-68.2078704834,1130,"https://www.inaturalist.org/observations/184763974"
