"scientific.name","common.name","observed.on","location","listing.status","latitude","longitude","url"
"Sterna dougallii","Roseate Tern","2016-05-31","Cranberry Isles, ME, USA","federally endangered",44.2424947532,-68.1942682095,"https://www.inaturalist.org/observations/19995514"
"Calidris canutus","Red Knot","1978-08-10","Acadia NP (please use more specific location if possible)","federally threatened",44.3385984,-68.2733291,NA
"Calidris canutus","Red Knot","1978-08-10","Acadia NP--Bass Harbor Marsh","federally threatened",44.2533766,-68.3407102,NA
"Calidris canutus","Red Knot","1981-08-08","Acadia NP--Bar Island","federally threatened",44.3985285,-68.2063437,NA
"Calidris canutus","Red Knot","1984-09-05","Acadia NP (please use more specific location if possible)","federally threatened",44.3385984,-68.2733291,NA
"Sterna dougallii","Roseate Tern","1989-07-14","Acadia NP--Schoodic Point","federally endangered",44.3324746,-68.0603456,NA
"Calidris canutus","Red Knot","1989-09-02","Acadia NP--Otter Point","federally threatened",44.3072668,-68.1901217,NA
"Calidris canutus","Red Knot","1990-07-10","Acadia NP (please use more specific location if possible)","federally threatened",44.3385984,-68.2733291,NA
"Calidris canutus","Red Knot","2002-07-10","Acadia NP--Great Head","federally threatened",44.3289251,-68.1741893,NA
"Calidris canutus","Red Knot","2005-09-15","Acadia NP (please use more specific location if possible)","federally threatened",44.3385984,-68.2733291,NA
"Calidris canutus","Red Knot","2018-08-29","Acadia NP--Sand Beach","federally threatened",44.3292206,-68.1822252,NA
"Calidris canutus","Red Knot","2018-08-29","Acadia NP--Sand Beach","federally threatened",44.3292206,-68.1822252,NA
"Calidris canutus","Red Knot","2021-09-18","Acadia NP--Little Moose Island","federally threatened",44.3360968,-68.0511618,NA
"Myotis lucifugus","Little Brown Bat","2017-08-29","Acadia National Park, Bar Harbor, ME, US","state endangered",44.3378304112,-68.2357652668,"https://www.inaturalist.org/observations/7995935"
"Histrionicus histrionicus","Harlequin Duck","2017-11-07","Schoodic Point, Winter Harbor, ME 04693, USA","state threatened",44.3323493,-68.0610361,"https://www.inaturalist.org/observations/9623884"
"Fratercula arctica","Atlantic Puffin","2018-08-07","Maine, US","state threatened",44.341333379,-68.1832120802,"https://www.inaturalist.org/observations/20421000"
"Histrionicus histrionicus","Harlequin Duck","2020-01-02","Acadia National Park Schoodic","state threatened",44.332207,-68.061551,"https://www.inaturalist.org/observations/37209604"
"Myotis leibii","Eastern Small-footed Myotis","2015-10-11","Hancock County, US-ME, US","state threatened",44.3187627505,-68.2197354543,"https://www.inaturalist.org/observations/76153843"
"Fratercula arctica","Atlantic Puffin","2021-06-09","Hancock County, US-ME, US","state threatened",44.3371071376,-68.3013512851,"https://www.inaturalist.org/observations/82319429"
"Fratercula arctica","Atlantic Puffin","2021-06-09","Hancock County, US-ME, US","state threatened",44.3564128528,-68.2004033721,"https://www.inaturalist.org/observations/82320547"
"Falco peregrinus","Peregrine Falcon","2021-06-06","Acadia National Park, Bar Harbor, ME, US","state endangered",44.3494633333,-68.1878966667,"https://www.inaturalist.org/observations/82537704"
"Falco peregrinus","Peregrine Falcon","2012-07-28","Southwest Harbor, ME, USA","state endangered",44.2298817436,-68.3158156248,"https://www.inaturalist.org/observations/83418624"
"Myotis lucifugus","Little Brown Bat","2016-09-09","Acadia National Park, Mount Desert, ME, US","state endangered",44.3193775315,-68.2415289209,"https://www.inaturalist.org/observations/91315894"
"Falco peregrinus","Peregrine Falcon","2021-08-31","Bar Harbor, ME 04609, USA","state endangered",44.3528712864,-68.2088763267,"https://www.inaturalist.org/observations/93137955"
"Histrionicus histrionicus","Harlequin Duck","2022-03-18","Schoodic Point, Winter Harbor, ME 04693, USA","state threatened",44.3323493,-68.0610361,"https://www.inaturalist.org/observations/108887318"
"Fratercula arctica","Atlantic Puffin","2022-05-14","Hancock County, US-ME, US","state threatened",44.3210821742,-68.3931055362,"https://www.inaturalist.org/observations/118123084"
"Alca torda","Razorbill","2022-05-14","Hancock County, US-ME, US","state threatened",44.3408539183,-68.2204801464,"https://www.inaturalist.org/observations/118123092"
"Falco peregrinus","Peregrine Falcon","2022-07-05","Bar Harbor, ME, USA","state endangered",44.3510737124,-68.1939550309,"https://www.inaturalist.org/observations/124950311"
"Falco peregrinus","Peregrine Falcon","2022-07-04","Acadia National Park, Mount Desert, ME, US","state endangered",44.3687982077,-68.293028686,"https://www.inaturalist.org/observations/125084474"
"Falco peregrinus","Peregrine Falcon","2022-07-24","Southwest Harbor, ME, USA","state endangered",44.3061062506,-68.3154227831,"https://www.inaturalist.org/observations/129498680"
"Fratercula arctica","Atlantic Puffin","2019-08-06","Maine, US","state threatened",44.3074601727,-68.3728198338,"https://www.inaturalist.org/observations/132211154"
"Histrionicus histrionicus","Harlequin Duck","2022-12-15","Bar Harbor, ME 04609, USA","state threatened",44.3547716628,-68.19093436,"https://www.inaturalist.org/observations/145021861"
"Histrionicus histrionicus","Harlequin Duck","2023-05-06","Schoodic Point, Winter Harbor, ME 04693, USA","state threatened",44.3323493,-68.0610361,"https://www.inaturalist.org/observations/160115051"
"Alca torda","Razorbill","2023-05-17","Hancock County, US-ME, US","state threatened",44.3823935548,-68.2497946004,"https://www.inaturalist.org/observations/163129831"
"Alca torda","Razorbill","2015-06-25","Hancock County, US-ME, US","state threatened",44.2679616593,-68.3703406453,"https://www.inaturalist.org/observations/164435162"
"Falco peregrinus","Peregrine Falcon","2015-06-19","Bar Harbor, ME, USA","state endangered",44.3502943959,-68.1916036364,"https://www.inaturalist.org/observations/175756063"
"Fratercula arctica","Atlantic Puffin","2023-07-27","Maine, US","state threatened",44.3401617811,-68.1788871,"https://www.inaturalist.org/observations/177267240"
"Fratercula arctica","Atlantic Puffin","2022-07-07","Hancock County, US-ME, US","state threatened",44.338971474,-68.2389727656,"https://www.inaturalist.org/observations/181492867"
"Falco peregrinus","Peregrine Falcon","2023-09-21","Eagle/Jordan, Mt Desert, ME 04660, USA","state endangered",44.3292602,-68.259039,"https://www.inaturalist.org/observations/191789933"
"Falco peregrinus","Peregrine Falcon","2022-05-18","Mt Desert, ME, USA","state endangered",44.3361757013,-68.2455376917,"https://www.inaturalist.org/observations/202477456"
"Nycticorax nycticorax","Black-crowned Night Heron","1963-07-08","Acadia NP--Otter Cove, Fish House Road","state endangered",44.3158344,-68.1976211,NA
"Sterna paradisaea","Arctic Tern","1967-07-25","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Sterna paradisaea","Arctic Tern","1969-08-04","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Falco peregrinus","Peregrine Falcon","1969-08-04","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Sterna paradisaea","Arctic Tern","1971-07-04","Acadia NP--Schoodic Point","state threatened",44.3324746,-68.0603456,NA
"Sterna paradisaea","Arctic Tern","1973-07-26","Acadia NP (please use more specific location if possible)","state threatened",44.3385984,-68.2733291,NA
"Sterna paradisaea","Arctic Tern","1973-07-13","Acadia NP--Schoodic Peninsula","state threatened",44.3403019,-68.0582428,NA
"Falco peregrinus","Peregrine Falcon","1975-08-20","Acadia NP (please use more specific location if possible)","state endangered",44.3385984,-68.2733291,NA
"Sterna paradisaea","Arctic Tern","1976-08-09","Seawall Road","state threatened",44.2389369,-68.310071,NA
"Sterna paradisaea","Arctic Tern","1976-08-07","Acadia NP--Seawall Picnic Area","state threatened",44.2373,-68.3025,NA
"Nycticorax nycticorax","Black-crowned Night Heron","1977-06-06","Acadia NP","state endangered",44.3414301,-68.2250984,NA
"Bucephala islandica","Barrow's Goldeneye","1978-02-24","Acadia NP--Cadillac Mountain","state threatened",44.3534831,-68.2260418,NA
"Histrionicus histrionicus","Harlequin Duck","1979-01-05","MDI - General","state threatened",44.3233568,-68.321228,NA
"Histrionicus histrionicus","Harlequin Duck","1979-03-18","Isle au Haut--South Shore","state threatened",44.0166405,-68.6400468,NA
"Histrionicus histrionicus","Harlequin Duck","1980-03-09","Isle au Haut--South Shore","state threatened",44.0166405,-68.6400468,NA
"Chlidonias niger","Black Tern","1980-07-17","Mount Desert Island","state endangered",44.32454,-68.186781,NA
"Bucephala islandica","Barrow's Goldeneye","1981-02-14","Acadia NP--Schoodic Peninsula","state threatened",44.3403019,-68.0582428,NA
