"scientific.name","common.name","observed.on","location","latitude","longitude","positional.accuracy","url"
"Pinus banksiana","Jack pine","2023-11-29","Penobscot County, US-ME, US",46.1049092655,-68.8008929138,5,"https://www.inaturalist.org/observations/192666943"
"Pinus banksiana","Jack pine","2023-11-29","Penobscot County, US-ME, US",46.1048124952,-68.8010247786,7,"https://www.inaturalist.org/observations/194275346"
"Tsuga canadensis","eastern hemlock","2023-10-29","Penobscot County, US-ME, US",45.9146927437,-68.5996946321,5,"https://www.inaturalist.org/observations/189376822"
"Fraxinus americana","white ash","2023-10-15","Penobscot County, US-ME, US",46.1061425368,-68.7970959116,5,"https://www.inaturalist.org/observations/187913179"
"Tsuga canadensis","eastern hemlock","2023-10-05","Katahdin Woods and Waters National Monument, Stacyville, ME, US",45.879425,-68.56147,12,"https://www.inaturalist.org/observations/186749391"
"Pinus banksiana","Jack pine","2023-09-03","Patten, ME 04765, USA",46.1031983997,-68.7996669997,NA,"https://www.inaturalist.org/observations/181814094"
"Tsuga canadensis","eastern hemlock","2023-08-31","Katahdin Woods and Waters National Monument, Stacyville, ME, US",45.88527,-68.56308,21,"https://www.inaturalist.org/observations/181188527"
"Cypripedium acaule","pink lady's slipper","2023-08-03","Penobscot County, ME, USA",45.9312527778,-68.7553083333,NA,"https://www.inaturalist.org/observations/177055391"
"Lonicera canadensis","American fly-honeysuckle","2023-05-06","Penobscot County, ME, USA",46.1059483333,-68.80367,NA,"https://www.inaturalist.org/observations/160450202"
"Pinus banksiana","Jack pine","2023-05-05","Penobscot County, ME, USA",46.104495,-68.8005916667,NA,"https://www.inaturalist.org/observations/160440615"
"Tsuga canadensis","eastern hemlock","2022-09-06","Katahdin Woods and Waters National Monument, ME, US",45.9326513997,-68.6337711,NA,"https://www.inaturalist.org/observations/134081868"
"Asclepias syriaca","common milkweed","2022-07-23","Sherman Lumber Company Rd, Patten, ME 04765, USA",45.9321843091,-68.6130702495,649,"https://www.inaturalist.org/observations/127626150"
"Asclepias syriaca","common milkweed","2022-07-10","North Penobscot, ME, USA",45.9220611111,-68.7631944444,NA,"https://www.inaturalist.org/observations/126138105"
"Fraxinus americana","white ash","2022-07-01","Penobscot County, ME, USA",46.1132297252,-68.8059997515,605,"https://www.inaturalist.org/observations/124332666"
"Fraxinus americana","white ash","2022-07-01","Penobscot County, ME, USA",46.1132297252,-68.8059997515,605,"https://www.inaturalist.org/observations/124332720"
"Phalaris arundinacea","reed canary grass","2022-06-26","Patten, ME 04765, USA",46.0803444444,-68.7946835,NA,"https://www.inaturalist.org/observations/123642968"
"Cypripedium acaule","pink lady's slipper","2022-06-26","Patten, ME 04765, USA",46.0140193889,-68.7639153611,NA,"https://www.inaturalist.org/observations/123673362"
"Cypripedium acaule","pink lady's slipper","2022-06-26","Patten, ME 04765, USA",46.0122713333,-68.7638526944,NA,"https://www.inaturalist.org/observations/123673409"
"Cypripedium acaule","pink lady's slipper","2022-06-26","Patten, ME 04765, USA",46.0106843333,-68.7641904167,NA,"https://www.inaturalist.org/observations/123673506"
"Lonicera canadensis","American fly-honeysuckle","2022-06-25","Penobscot County, ME, USA",46.0355283333,-68.606085,NA,"https://www.inaturalist.org/observations/141033502"
"Cypripedium acaule","pink lady's slipper","2022-06-24","North Penobscot, ME, USA",45.8623755278,-68.6743316944,NA,"https://www.inaturalist.org/observations/123348179"
"Heracleum maximum","common cowparsnip","2022-06-23","Katahdin Woods and Waters National Monument, Patten, ME, US",46.0269888333,-68.579855,5,"https://www.inaturalist.org/observations/123141197"
"Tsuga canadensis","eastern hemlock","2022-06-23","Patten, ME 04765, USA",45.98367175,-68.7294286667,NA,"https://www.inaturalist.org/observations/123171565"
"Cypripedium acaule","pink lady's slipper","2022-06-16","North Penobscot, ME, USA",45.9315623997,-68.7556763,NA,"https://www.inaturalist.org/observations/122102292"
"Cypripedium acaule","pink lady's slipper","2022-06-12","Patten, ME 04765, USA",46.0233520278,-68.8030750278,NA,"https://www.inaturalist.org/observations/121518862"
"Cypripedium acaule","pink lady's slipper","2022-06-12","Patten, ME 04765, USA",46.0232062778,-68.8011206667,NA,"https://www.inaturalist.org/observations/121519954"
"Cypripedium acaule","pink lady's slipper","2022-06-08","Penobscot County, US-ME, US",45.8623710182,-68.6743059755,5,"https://www.inaturalist.org/observations/120848998"
"Cypripedium acaule","White-flowered Pink Lady's-slipper","2022-06-03","Patten, ME 04765, USA",45.9584838611,-68.7503589444,NA,"https://www.inaturalist.org/observations/120581125"
"Cypripedium acaule","pink lady's slipper","2022-06-03","Patten, ME 04765, USA",45.9585261944,-68.7504246944,NA,"https://www.inaturalist.org/observations/120581381"
"Cypripedium acaule","pink lady's slipper","2022-06-03","Patten, ME 04765, USA",45.9644914167,-68.7549539722,NA,"https://www.inaturalist.org/observations/120583559"
